Sample	Test-Sample 1	Test-Sample 2	Test-Sample 3	Test-Sample 4	Test-Sample 5	Test-Sample 6	Test-Sample 7	Test-Sample 8	Test-Sample 9	Test-Sample 10
B2M	13.46756734	13.59022446	13.03223174	13.72640977	13.46941288	13.52403967	6.122865259	13.63690779	13.42724736	13.45891921
B3GALNT1	6.613048316	6.265114294	6.440326031	6.211752047	6.682797999	6.320618255	6.865225996	6.329694102	6.389308673	6.081620844
B3GALNT2	7.186421321	7.185579167	7.229174511	7.252703273	7.27020187	7.414719057	7.557632182	7.190456835	7.122206791	7.405252108
B3GALT1	5.548917443	5.220856164	5.457548329	5.291485686	5.561607193	4.991431143	6.350719999	5.36108404	5.584370273	5.215701891
B3GALT2	5.48167029	5.540591487	5.518324258	5.83376296	5.355104385	5.673918183	6.085322671	5.492042237	5.69442336	5.478923283
B3GALT4	7.80725831	7.971290629	8.216896182	7.842149169	8.083995148	8.069771971	8.262818361	7.959573116	8.10471406	8.022933682
B3GALT5	6.2289668	5.603418641	6.002900506	5.861871023	6.380712135	5.558797219	7.055542748	5.973365602	5.79884891	5.565871311
B3GALT6	7.751718109	7.701209413	7.838119785	7.488129348	7.793447246	7.891710807	8.085557438	7.655552189	7.693549682	7.932929278
B3GALTL	6.738889407	6.523193394	7.347373332	6.8509744	7.02464104	7.063449013	6.6180962	7.017420885	6.948857781	6.760194328
B3GAT1	6.84537714	7.06360001	6.957972621	6.784242222	7.092270876	6.919471187	7.224107822	6.676069904	6.712527	6.690975738
B3GAT2	7.029022133	6.741156841	7.054305845	6.823978584	7.064591887	6.835469372	7.52429096	6.942491047	6.908944973	6.823876711
B3GAT3	7.858335407	7.961964747	8.2846298	8.304784807	8.241206196	8.354976608	7.064678105	7.705162355	7.390057148	8.012713919
B3GNT1	5.486279955	5.484737518	5.455103606	5.190618811	5.534805549	5.623922448	5.680788488	5.531106932	5.535710841	5.630277319
B3GNT2	7.922078888	8.807480508	7.812331356	8.531545217	8.180585506	8.539011432	7.094003767	8.498518156	8.222210463	9.060655406
B3GNT3	7.506184582	7.284985997	7.152629628	7.00193732	7.517661515	6.886428211	7.795877317	7.231297994	7.209716536	7.063384295
B3GNT4	7.70486505	7.559292955	7.654743421	7.12786023	7.880765101	7.143811749	8.320818597	7.573866794	7.400998945	7.30505852
B3GNT5	9.282940139	9.940199058	8.008350182	8.6476419	9.659974493	8.355113197	6.734506409	9.930604296	10.10956951	9.241854481
B3GNT6	7.376194863	7.472114052	7.532994817	7.216968913	7.650276303	7.325089541	7.753912017	7.526381863	7.452760147	7.327238248
B3GNT7	7.682987563	8.012155203	7.887848135	7.259423152	8.151539215	7.832225462	8.104064032	7.700231622	7.44762052	7.996981838
B3GNT8	7.125196469	7.310512812	7.195121175	6.811072796	7.247984461	6.870315396	7.598268423	7.18673824	7.253005963	6.682783956
B3GNT9	6.280085907	6.71207297	6.516710159	6.254151825	6.673203056	6.407165773	6.98580779	6.491118738	6.265189324	6.398726593
B3GNTL1	6.833202629	7.035677284	7.026228703	6.572126931	7.076281024	6.626519358	7.270531745	6.83159203	6.954036495	6.646138278
B4GALNT1	7.498530123	7.181619411	7.223094276	6.755448441	7.484492637	6.782041554	8.375782315	7.446984012	7.126714796	6.727321476
B4GALNT2	6.879423962	6.955719643	7.008820758	6.518845109	6.911871308	6.778891907	7.256850268	6.830534221	6.736361339	6.861186185
B4GALNT3	7.105594276	7.051480865	6.976558396	6.532101848	7.046567454	6.479411663	7.750150901	7.075275901	6.810533077	6.598716545
B4GALNT4	7.357068093	7.361970084	7.631846398	6.766952876	7.396801693	6.893981	7.372037939	7.238032075	7.088300634	7.070314186
B4GALT1	9.781261345	9.960749159	9.645139617	9.855315456	10.07585348	10.01362975	7.197924349	10.01817235	10.45731931	10.45291043
B4GALT2	8.188163516	8.152305126	8.385469865	7.667423826	8.238567153	7.723237715	8.713585849	7.907185116	7.865801306	7.8767318
B4GALT3	8.357573997	8.520402604	8.385047015	8.483598148	8.554657915	8.759668517	7.626899032	8.542428315	8.363600387	8.808053558
B4GALT4	7.008204497	7.066121489	6.89442976	7.26412353	6.849498932	7.209170648	7.165801422	6.923731562	7.434494793	7.234338449
B4GALT5	10.51193051	9.581697718	9.995866059	9.918472703	10.27861207	10.02224296	7.965507261	10.43444058	10.79246496	9.197921893
B4GALT6	5.918484033	6.135900094	5.694470721	6.399702605	6.083058025	6.357061053	6.184708754	6.092086898	5.849176128	6.317817778
B4GALT7	8.027640649	8.175998569	8.241382597	8.228616699	7.844737144	8.144117768	7.784432003	7.9380505	8.134493063	8.216420912
B9D1	7.141187525	7.22568946	7.045006042	6.818492705	7.058781876	6.944249388	7.739726613	6.931966652	6.931352126	6.941047606
B9D2	8.150864268	7.848942113	8.215270888	7.591327855	8.210452184	7.799197421	8.098663782	8.067117014	7.924753132	7.944460244
BAALC	7.108137595	6.588030973	6.826866227	6.726395292	6.921602947	6.601516763	8.037135089	6.959364456	6.858142667	6.378927725
BAALCOS	5.988466562	5.810895482	5.881248586	5.763212367	6.092444259	5.911207407	6.441729131	5.982738087	5.862962121	5.803431128
BAAT	5.022407764	4.906991581	4.962516634	4.76436208	5.05278539	4.680971286	5.421536382	4.873247228	5.03761943	4.783990887
BABAM1	8.085530883	8.368432251	8.63005958	8.692692211	8.211917489	8.969872854	7.859255227	8.306048015	8.470060932	8.755895701
BACE1	6.849010945	6.679592696	6.449723132	6.4133419	6.820727848	6.455397915	7.42740504	6.43347361	6.561486529	6.565304708
BACE2	7.170235548	7.112710557	6.938415186	6.763836459	7.209745774	6.987661942	7.037195503	7.329590064	6.849123572	7.0079355
BACH1	7.821505383	7.588096853	7.44592661	7.965564888	7.702349122	7.55894223	6.644732461	7.843968829	7.947370763	7.708478678
BACH2	8.165716016	8.427798899	9.567429462	8.301372726	8.893950673	9.06269109	7.503976756	8.79038434	8.637813086	9.227305472
BAD	8.150701827	8.181475305	8.139162489	7.79565657	8.34638076	7.824042251	8.876995719	8.241449337	8.027574304	8.008221307
BAG1	7.824067717	8.171962371	7.786792367	8.235128684	8.045896145	8.191143133	7.562776657	8.347630226	7.821340311	8.222418184
BAG2	6.472767185	7.021268727	6.63443935	6.959445605	6.7312104	7.131033798	6.503078364	6.387236727	6.803394962	7.048465077
