"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
2.05770005158842e-145,0.883167028356967,0.865,0.5,5.12079234838293e-141,"Basal Can","DNAJB1"
2.17232079511835e-143,0.80919707502723,0.978,0.825,5.40603753073152e-139,"Basal Can","FOS"
2.16343633647353e-139,0.604025403455478,0.982,0.711,5.38392766694803e-135,"Basal Can","FABP5"
8.80930243525708e-137,0.72837693657937,0.933,0.582,2.19228300403808e-132,"Basal Can","HSPA1B"
3.21210616328955e-136,0.775662767743927,0.422,0.106,7.99364739796238e-132,"Basal Can","MYC"
1.26784198923038e-120,0.717771858633195,0.947,0.687,3.15515157439872e-116,"Basal Can","HSPA1A"
2.38525880381302e-120,0.546085460447246,0.929,0.654,5.93595505916909e-116,"Basal Can","CD9"
2.09526718589449e-115,0.652023389587845,0.971,0.696,5.21428191881703e-111,"Basal Can","KRT5"
4.8385840318871e-114,0.5759623267088,0.457,0.14,1.20413002217542e-109,"Basal Can","MCM4"
5.62241693027615e-109,0.538097566529276,0.669,0.287,1.39919467726852e-104,"Basal Can","DSC3"
6.76688864563465e-109,0.523947826662752,0.524,0.185,1.68400790835264e-104,"Basal Can","BARX2"
7.12407132374916e-108,0.514497368083722,0.553,0.211,1.77289638962821e-103,"Basal Can","ARHGAP23"
2.01683038960251e-107,0.548711387338739,0.91,0.623,5.01908410756481e-103,"Basal Can","TNFSF10"
1.98814588423234e-103,0.552708670461444,0.956,0.741,4.94769984750059e-99,"Basal Can","ZFP36L1"
9.61860271475261e-98,0.573819435963897,0.476,0.177,2.39368547159333e-93,"Basal Can","KLF10"
7.74249054803995e-94,0.517184523573581,0.677,0.339,1.92679619778522e-89,"Basal Can","SLC9A3R1"
8.19660385499916e-84,0.796309658556657,0.765,0.463,2.03980683535509e-79,"Basal Can","EGR1"
6.09156822191937e-82,0.531798799793615,0.639,0.308,1.51594766770686e-77,"Basal Can","TM4SF1"
7.21445905471259e-82,0.510217024221868,0.74,0.415,1.79539028035578e-77,"Basal Can","BHLHE40"
7.20902366913248e-81,0.665652146893301,0.864,0.579,1.79403763030031e-76,"Basal Can","ZFP36"
1.1135418541946e-80,0.674918975419992,0.597,0.286,2.77116025834868e-76,"Basal Can","KRT4"
6.72499550278462e-74,0.689343211004296,0.458,0.202,1.67358238082298e-69,"Basal Can","MAP3K5"
3.35803857742109e-71,0.530045108686138,0.76,0.453,8.35681480377014e-67,"Basal Can","DUSP1"
1.38680310048786e-65,0.671944691065417,0.57,0.294,3.45119819587408e-61,"Basal Can","SOCS3"
1.76698451095091e-48,0.590073320276059,0.533,0.29,4.39731765395243e-44,"Basal Can","KRT16"
0,3.08910895519284,0.817,0.17,0,"Keratinocyte Can","C15orf48"
0,2.843938952866,0.541,0.069,0,"Keratinocyte Can","OLFM4"
0,2.80493133587947,0.665,0.086,0,"Keratinocyte Can","HPGD"
0,2.75664192086165,0.838,0.205,0,"Keratinocyte Can","DUOX2"
0,2.47964009703934,0.794,0.188,0,"Keratinocyte Can","SPRR3"
0,2.44939968922009,0.673,0.062,0,"Keratinocyte Can","CEACAM5"
0,2.347209280926,0.557,0.048,0,"Keratinocyte Can","WFDC2"
0,2.27403546159365,0.74,0.104,0,"Keratinocyte Can","CEACAM1"
0,2.26540509290793,0.783,0.132,0,"Keratinocyte Can","LCN2"
0,2.23433997170751,0.474,0.018,0,"Keratinocyte Can","CEACAM7"
0,2.21007662791539,0.631,0.099,0,"Keratinocyte Can","SAA1"
0,2.18094533003528,0.667,0.12,0,"Keratinocyte Can","SPRR1B"
0,2.14199439368813,0.699,0.205,0,"Keratinocyte Can","CXCL6"
0,2.09857748722822,0.603,0.054,0,"Keratinocyte Can","TCN1"
0,1.96878120093656,0.48,0.034,0,"Keratinocyte Can","PLAC8"
0,1.88014608617389,0.859,0.421,0,"Keratinocyte Can","S100P"
0,1.78418857093968,0.489,0.047,0,"Keratinocyte Can","AGR2"
0,1.67627999551232,0.435,0.019,0,"Keratinocyte Can","TNIP3"
0,1.67000461188131,0.646,0.132,0,"Keratinocyte Can","CD55"
0,1.61083320421649,0.696,0.187,0,"Keratinocyte Can","ATP1B1"
0,1.5509228199416,0.442,0.017,0,"Keratinocyte Can","TGM2"
0,1.52587705541316,0.961,0.673,0,"Keratinocyte Can","SAT1"
0,1.48062101532441,0.505,0.033,0,"Keratinocyte Can","TMC5"
0,1.13897890021915,0.989,0.914,0,"Keratinocyte Can","B2M"
1.81852822533522e-298,1.74461796434152,0.43,0.032,4.52558934156924e-294,"Keratinocyte Can","CTSL"
5.77079344552226e-298,1.58032685022325,0.538,0.087,1.43611965685267e-293,"Keratinocyte Can","SRD5A3"
1.37309697885735e-293,1.39175125245238,0.491,0.06,3.4170891415844e-289,"Keratinocyte Can","XDH"
9.01565734603742e-288,1.96908784632295,0.383,0.021,2.24363648713487e-283,"Keratinocyte Can","LYPD2"
1.7133702865352e-287,1.4277190712504,0.577,0.11,4.2638932950715e-283,"Keratinocyte Can","HK2"
5.0672721800601e-277,2.2269537865723,0.495,0.073,1.26104135472976e-272,"Keratinocyte Can","SERPINA3"
2.27318095742319e-276,1.32249335124533,0.414,0.035,5.65703813064335e-272,"Keratinocyte Can","SLC44A4"
1.23634692514972e-274,1.36850722545562,0.869,0.507,3.07677295792759e-270,"Keratinocyte Can","GLUL"
3.42708034448741e-274,1.49707467993077,0.517,0.085,8.52863214529136e-270,"Keratinocyte Can","LYNX1"
3.38742643104153e-271,2.22376435654302,0.486,0.07,8.42994941628996e-267,"Keratinocyte Can","PSCA"
3.10888788324231e-270,1.43973809087337,0.429,0.043,7.73677838623682e-266,"Keratinocyte Can","ASS1"
3.53472253509785e-262,1.64161627170434,0.365,0.022,8.79651050084451e-258,"Keratinocyte Can","SLC26A4"
2.83917059446829e-259,1.50530138779138,0.427,0.048,7.06555994139379e-255,"Keratinocyte Can","SLC6A14"
7.6165840012032e-257,1.92815897547919,0.348,0.019,1.89546309453943e-252,"Keratinocyte Can","CD177"
3.83454908934423e-255,1.3002544143706,0.327,0.012,9.54265886374205e-251,"Keratinocyte Can","SERPINA1"
6.58340228502325e-255,1.30608222200765,0.357,0.022,1.63834549265089e-250,"Keratinocyte Can","RARRES1"
3.96300280400106e-254,1.15536894252722,0.431,0.05,9.86232877803704e-250,"Keratinocyte Can","FUT3"
6.62374620015505e-248,1.61695573976584,0.692,0.25,1.64838547937059e-243,"Keratinocyte Can","IL1RN"
1.1166300227543e-246,1.23955302813378,0.313,0.011,2.77884547462634e-242,"Keratinocyte Can","HEPHL1"
1.79769553423337e-246,1.49198904818913,0.708,0.275,4.47374510649318e-242,"Keratinocyte Can","TSPAN1"
6.14399055594874e-246,1.30507602568244,0.52,0.105,1.5289934897534e-241,"Keratinocyte Can","NCCRP1"
