"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.73461053176233,0.843,0.157,0,"Immune cell","SRGN"
0,2.54202288198807,0.605,0.088,0,"Immune cell","RGS1"
0,2.51510440685988,0.728,0.166,0,"Immune cell","TNFAIP3"
0,2.46700016422681,0.452,0.079,0,"Immune cell","CCL5"
0,2.42442415730828,0.654,0.11,0,"Immune cell","CREM"
0,2.41513110566361,0.617,0.089,0,"Immune cell","CXCR4"
0,2.41291654706168,0.519,0.056,0,"Immune cell","CD69"
0,2.39689759536591,0.607,0.062,0,"Immune cell","CD52"
0,2.30626151433956,0.593,0.079,0,"Immune cell","RGCC"
0,2.26266782647679,0.487,0.07,0,"Immune cell","TRBC2"
0,2.23945476370419,0.646,0.065,0,"Immune cell","PTPRC"
0,2.12718116689625,0.499,0.091,0,"Immune cell","DUSP2"
0,2.09298276769919,0.555,0.09,0,"Immune cell","MYADM"
0,2.0916915784581,0.573,0.103,0,"Immune cell","VIM"
0,2.07481268654723,0.571,0.077,0,"Immune cell","RAC2"
0,2.04579149153425,0.435,0.05,0,"Immune cell","TRAC"
0,2.02756146406245,0.405,0.065,0,"Immune cell","DUSP4"
0,2.0257779541315,0.313,0.033,0,"Immune cell","NKG7"
0,2.02339556158315,0.382,0.048,0,"Immune cell","TRBC1"
0,1.99493476907924,0.559,0.097,0,"Immune cell","STK17B"
0,1.98789223174075,0.707,0.46,0,"Immune cell","CD74"
0,1.97675587802535,0.301,0.026,0,"Immune cell","GZMA"
0,1.96486400941944,0.401,0.036,0,"Immune cell","CD2"
0,1.93794887963587,0.438,0.047,0,"Immune cell","FYB"
0,1.90575090004488,0.488,0.148,0,"Immune cell","RGS2"
0,1.87304410608713,0.637,0.216,0,"Immune cell","TSC22D3"
0,1.79065019707956,0.397,0.042,0,"Immune cell","SLC2A3"
0,1.77622668261147,0.464,0.111,0,"Immune cell","BIRC3"
0,1.76398544349474,0.532,0.124,0,"Immune cell","ARHGDIB"
0,1.75972438528684,0.559,0.19,0,"Immune cell","ZFP36L2"
0,1.75818367021798,0.432,0.039,0,"Immune cell","LCP1"
0,1.75043924084618,0.316,0.046,0,"Immune cell","HLA-DPB1"
0,1.71881896248952,0.408,0.047,0,"Immune cell","RUNX3"
0,1.70576472074884,0.629,0.276,0,"Immune cell","HSPH1"
0,1.6983007819137,0.321,0.03,0,"Immune cell","CD3D"
0,1.698111739097,0.369,0.027,0,"Immune cell","CD48"
0,1.67617554141839,0.544,0.198,0,"Immune cell","NR4A2"
0,1.67504799033931,0.387,0.067,0,"Immune cell","ZNF331"
0,1.67345475554017,0.398,0.032,0,"Immune cell","WIPF1"
0,1.65328318288243,0.624,0.283,0,"Immune cell","YPEL5"
0,1.63261118215066,0.349,0.027,0,"Immune cell","LAPTM5"
0,1.60160077083273,0.625,0.25,0,"Immune cell","ID2"
0,1.59824714766903,0.392,0.092,0,"Immune cell","CNOT6L"
0,1.59254361495413,0.353,0.054,0,"Immune cell","ETS1"
0,1.57503098216422,0.449,0.147,0,"Immune cell","ELF1"
0,1.57425402538513,0.306,0.037,0,"Immune cell","CCND2"
0,1.54267160225745,0.771,0.458,0,"Immune cell","KLF6"
0,1.54039279724724,0.364,0.026,0,"Immune cell","CD53"
0,1.50543542368395,0.308,0.035,0,"Immune cell","CD3E"
0,1.4668865735639,0.323,0.053,0,"Immune cell","FAM46C"
0,1.40388853990475,0.831,0.55,0,"Immune cell","JUND"
0,1.3912602669417,0.459,0.149,0,"Immune cell","IL2RG"
0,1.39075527228196,0.867,0.548,0,"Immune cell","HLA-B"
0,1.38001332499773,0.832,0.572,0,"Immune cell","HSPA8"
0,1.36326922330844,0.777,0.482,0,"Immune cell","DNAJA1"
0,1.36094983791126,0.583,0.27,0,"Immune cell","HLA-C"
0,1.35562913994385,0.759,0.492,0,"Immune cell","BTG1"
0,1.31028698953418,0.808,0.555,0,"Immune cell","CALM1"
0,1.26752242657592,0.705,0.438,0,"Immune cell","DDX3X"
0,1.21050633023777,0.654,0.424,0,"Immune cell","NAP1L1"
0,1.18521942699326,0.777,0.525,0,"Immune cell","DDX5"
0,1.17958358900838,0.551,0.272,0,"Immune cell","CLK1"
0,1.15841374547486,0.704,0.464,0,"Immune cell","SRSF7"
0,1.11814268594069,0.73,0.483,0,"Immune cell","HLA-E"
0,1.10131188862692,0.612,0.371,0,"Immune cell","BRD2"
0,1.08913594247783,0.964,0.84,0,"Immune cell","TPT1"
0,1.07447539021282,0.676,0.455,0,"Immune cell","UBB"
0,1.01580561055852,0.879,0.714,0,"Immune cell","EIF1"
0,0.992733362485672,0.674,0.483,0,"Immune cell","MCL1"
0,0.962204437800626,0.772,0.604,0,"Immune cell","UBC"
0,0.918977747838372,0.856,0.7,0,"Immune cell","FOSB"
0,0.868872329523087,0.795,0.616,0,"Immune cell","HLA-A"
