"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
7.17768050092579e-260,2.75444773148187,0.563,0.076,1.78623756946039e-255,"T cell","CCL5"
3.54554751353508e-241,2.07051918800057,0.594,0.123,8.8234495421834e-237,"T cell","TRBC2"
4.21795864034465e-235,2.08078790441748,0.54,0.076,1.04968118723617e-230,"T cell","TRAC"
3.55728244561173e-233,1.27508764582489,0.799,0.49,8.85265309414935e-229,"T cell","TNFAIP3"
2.17021583596677e-232,2.21582671069557,0.506,0.044,5.4007991293869e-228,"T cell","CD2"
2.00654347993607e-227,2.10487714859056,0.506,0.048,4.99348410416892e-223,"T cell","IL32"
4.41247248367889e-210,2.29777954672078,0.481,0.048,1.09808790228833e-205,"T cell","TRBC1"
1.67140106844866e-181,1.29689565045496,0.673,0.32,4.15944869894133e-177,"T cell","RGCC"
1.1662314561148e-171,1.94729326153458,0.407,0.031,2.9022836016873e-167,"T cell","CD3D"
6.1464980980832e-162,2.24818338712563,0.383,0.025,1.52961751668899e-157,"T cell","GZMA"
2.02415925955079e-158,1.74833514788577,0.388,0.034,5.0373227333181e-154,"T cell","CD3E"
1.68213172847836e-138,1.95216403522676,0.346,0.026,4.18615301949124e-134,"T cell","ICOS"
1.33386022116882e-133,0.712446210450397,0.838,0.709,3.31944454640073e-129,"T cell","CALM1"
1.63543735370498e-130,1.69491282230683,0.33,0.025,4.06994939843021e-126,"T cell","IL2RB"
2.53979067976892e-127,1.50335828570206,0.362,0.05,6.32052308567293e-123,"T cell","CD96"
4.00397122449932e-123,1.72044901115142,0.323,0.03,9.96428278928902e-119,"T cell","ITM2A"
3.80945373728489e-120,0.773869668881979,0.795,0.637,9.48020657060719e-116,"T cell","BTG1"
2.18470672057839e-119,1.29417844616073,0.423,0.117,5.43686114483139e-115,"T cell","ETS1"
6.86567351202497e-117,1.92855312588485,0.378,0.091,1.70859151020253e-112,"T cell","NKG7"
7.31666447740782e-116,1.08920081835867,0.616,0.365,1.82082512184771e-111,"T cell","ZFP36L2"
4.23084078870256e-113,1.36507379223737,0.362,0.073,1.05288703867652e-108,"T cell","FYN"
7.42327753188328e-110,1.30919678403126,0.455,0.177,1.84735684658447e-105,"T cell","CNOT6L"
2.32306748115522e-108,0.859388055806796,0.686,0.51,5.78118573360288e-104,"T cell","PTPRC"
9.64488962576126e-88,0.782356306588099,0.677,0.502,2.40022723226695e-83,"T cell","TSC22D3"
2.21605762239017e-85,1.25013559201835,0.361,0.122,5.51488099908017e-81,"T cell","CCND2"
8.68510566197375e-85,1.27189327209634,0.316,0.073,2.16137539503879e-80,"T cell","SYNE2"
3.47726918411954e-84,0.824532940377734,0.602,0.413,8.65353209159988e-80,"T cell","STK17B"
2.15531229274175e-78,0.909816048080742,0.491,0.256,5.36371017171713e-74,"T cell","FYB"
3.40798235293858e-75,1.15748585937564,0.323,0.102,8.48110488352295e-71,"T cell","PTPN22"
8.43460086844251e-72,0.831989874656206,0.591,0.433,2.0990347721206e-67,"T cell","MYADM"
2.71700193128577e-68,0.659253928492598,0.687,0.541,6.76153100619777e-64,"T cell","CREM"
1.76340615387389e-67,0.604902504184146,0.654,0.447,4.38841255453056e-63,"T cell","CD52"
5.19271524053674e-56,1.22853017567849,0.496,0.346,1.29225911475997e-51,"T cell","ANXA1"
2.76109837852161e-55,0.873335185750873,0.449,0.254,6.87126942478887e-51,"T cell","DUSP4"
1.60042614005028e-51,0.521403790226148,0.789,0.707,3.98282049212912e-47,"T cell","KLF6"
1.01956449601753e-49,0.74217797791275,0.512,0.377,2.53728820478923e-45,"T cell","SOD1"
1.87600985569179e-47,0.780759126723013,0.489,0.359,4.66863812687459e-43,"T cell","SARAF"
1.40048534446229e-46,0.900280959504309,0.39,0.24,3.48524782822887e-42,"T cell","PPP2R5C"
8.71704209866933e-46,0.732734617253742,0.363,0.186,2.16932309667485e-41,"T cell","FAM46C"
4.60831854221502e-45,0.992999628097388,0.302,0.147,1.14682615241563e-40,"T cell","PHLDA1"
1.11238654617283e-43,0.877916521273705,0.306,0.148,2.7682851588057e-39,"T cell","PDCD4"
3.04555525820248e-41,0.81126925155679,0.362,0.21,7.57916881556268e-37,"T cell","G3BP2"
1.0079644066541e-40,0.662870652049114,0.486,0.366,2.50842022239939e-36,"T cell","IL2RG"
4.31628070593815e-39,0.723562596083973,0.426,0.302,1.07414961647977e-34,"T cell","WIPF1"
4.67509526543281e-38,0.869995992277009,0.326,0.186,1.16344420775561e-33,"T cell","PIM1"
1.84005437539055e-37,0.652273026130552,0.475,0.359,4.57915931859693e-33,"T cell","ELF1"
4.27446731175549e-37,0.650918851614962,0.44,0.3,1.06374393520347e-32,"T cell","RUNX3"
7.37257784879013e-35,0.644531735154154,0.424,0.283,1.83473972344991e-30,"T cell","ARL4C"
1.09566284661198e-32,0.677908087683001,0.459,0.34,2.72666656007858e-28,"T cell","ZC3HAV1"
