"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
6.1495862025457e-190,1.40566507126335,0.541,0.181,1.53038602236552e-185,"Tconv cell","IL7R"
9.11988157090098e-71,0.77870195880854,0.981,0.97,2.26957372773442e-66,"Tconv cell","MALAT1"
7.15873259843116e-62,0.936628834994087,0.588,0.446,1.78152219444558e-57,"Tconv cell","ANXA1"
2.56781877492085e-49,0.838314712286722,0.363,0.202,6.39027380326803e-45,"Tconv cell","GPR183"
2.20321490772891e-46,0.616718483328004,0.773,0.733,5.48292061937416e-42,"Tconv cell","FOS"
3.26323340476734e-44,0.666258248625043,0.314,0.158,8.120882651104e-40,"Tconv cell","LTB"
1.55319820462195e-31,0.657814138950058,0.933,0.933,3.86528905202219e-27,"Tconv cell","MTATP6P1"
6.17604657940205e-20,0.631439562765026,0.763,0.774,1.53697095174999e-15,"Tconv cell","MTND1P23"
4.5298223588696e-18,0.784838328757485,0.399,0.339,1.12729159222829e-13,"Tconv cell","MTRNR2L12"
1.04777488790069e-15,0.667493938608684,0.567,0.565,2.60749258602965e-11,"Tconv cell","S100A8"
3.01303035581153e-10,0.573398658582815,0.46,0.446,7.49822734347258e-06,"Tconv cell","MTND2P28"
7.03751957177485e-07,0.710064825030562,0.361,0.35,0.0175135712063189,"Tconv cell","NEAT1"
0.000672443485635919,0.601337997339464,0.366,0.366,1,"Tconv cell","EGR1"
0,2.19746435977836,0.556,0.029,0,"NK cell","FCER1G"
0,1.62797914085819,0.416,0.023,0,"NK cell","TYROBP"
7.04106973110155e-256,1.78602747745123,0.649,0.169,1.75224061328193e-251,"NK cell","GNLY"
1.3794410692828e-250,1.62861329705982,0.396,0.038,3.43287704501718e-246,"NK cell","KLRC1"
6.86676211561432e-228,1.40619975607422,0.316,0.019,1.70886242009178e-223,"NK cell","TRDC"
9.77778202403648e-143,1.34985994296611,0.307,0.048,2.43329883450172e-138,"NK cell","XCL1"
8.19100790529918e-137,0.883383235114528,0.85,0.487,2.03841422731275e-132,"NK cell","CCL5"
1.12952288244549e-134,1.13029356356022,0.39,0.092,2.81093064525383e-130,"NK cell","KLRD1"
7.13243988325338e-90,0.88550715801843,0.558,0.269,1.77497898934644e-85,"NK cell","IL2RB"
5.16085469537611e-87,0.730944340693252,0.557,0.25,1.2843302994913e-82,"NK cell","CD63"
1.24583050007701e-85,1.07721483699577,0.308,0.087,3.10037378249165e-81,"NK cell","PRF1"
1.0860510402232e-82,1.05277051553458,0.352,0.118,2.70274661869945e-78,"NK cell","CSF1"
1.92782810088224e-64,0.819899479141848,0.581,0.324,4.79759301185555e-60,"NK cell","NKG7"
6.12618427438207e-63,0.880962061266656,0.578,0.331,1.52456221852272e-58,"NK cell","GZMA"
1.35486713127052e-59,0.798886268882058,0.307,0.11,3.37172234287982e-55,"NK cell","MAFF"
3.34851748818185e-56,0.774634328376955,0.337,0.137,8.33312062108935e-52,"NK cell","LDLRAD4"
2.11584066665866e-55,0.628203988286042,0.455,0.214,5.26548108304674e-51,"NK cell","GZMB"
4.57299385627469e-51,0.595106345264241,0.543,0.312,1.13803525107252e-46,"NK cell","CCND2"
6.5591677985361e-47,0.611738528537142,0.487,0.275,1.63231449834369e-42,"NK cell","FOSL2"
1.0032578104793e-41,0.600412223722348,0.476,0.266,2.49670738715878e-37,"NK cell","NR4A1"
1.54251540230265e-40,0.542332880904144,0.301,0.131,3.83870383017037e-36,"NK cell","GSTP1"
5.91770534589089e-38,0.615701735625914,0.335,0.165,1.47268015237841e-33,"NK cell","GPR65"
5.93247976980436e-36,0.51023457717975,0.426,0.234,1.47635691551351e-31,"NK cell","BHLHE40"
2.28010092603677e-280,1.51739567015079,0.533,0.09,5.67425916453511e-276,"Cytotoxic T cell","CD8A"
5.46126750070926e-139,0.603901512174012,0.832,0.443,1.35909103022651e-134,"Cytotoxic T cell","CCL5"
2.07340944142205e-136,0.831780452558156,0.681,0.346,5.15988673592292e-132,"Cytotoxic T cell","DUSP4"
8.4254796730902e-117,0.661157104949743,0.618,0.271,2.09676487144523e-112,"Cytotoxic T cell","NKG7"
5.88275399907003e-66,0.727223157700953,0.366,0.153,1.46398216020857e-61,"Cytotoxic T cell","IFNG"
9.02095671422956e-65,0.669806716680978,0.393,0.176,2.24495528790317e-60,"Cytotoxic T cell","CD3G"
7.72716262987977e-64,0.653718055340023,0.401,0.184,1.92298169207188e-59,"Cytotoxic T cell","TIGIT"
1.37210484712959e-57,0.557083592884933,0.41,0.2,3.41462012256671e-53,"Cytotoxic T cell","GZMB"
3.32544725905966e-55,0.619857990396108,0.365,0.172,8.27570804889587e-51,"Cytotoxic T cell","APOBEC3G"
7.49082295294214e-52,0.504523473745507,0.403,0.201,1.86416620006918e-47,"Cytotoxic T cell","CTLA4"
1.41212694968062e-51,0.6448768403299,0.586,0.392,3.51421912697518e-47,"Cytotoxic T cell","RGS2"
5.44302805323389e-48,0.558024624818532,0.323,0.15,1.35455196132779e-43,"Cytotoxic T cell","HLA-DRA"
1.12178768189747e-42,0.52770115995304,0.447,0.267,2.79168082517005e-38,"Cytotoxic T cell","ITM2A"
3.83585416689654e-41,0.616427168233139,0.411,0.244,9.54590667973872e-37,"Cytotoxic T cell","ALOX5AP"
6.3985653756423e-40,0.52700295123748,0.385,0.215,1.59234697938234e-35,"Cytotoxic T cell","SLC7A5"
2.22921795690481e-37,0.51027652468309,0.302,0.151,5.54763180755332e-33,"Cytotoxic T cell","HLA-DPB1"
2.37415665386199e-205,1.61266043133945,0.31,0.018,5.90832624880095e-201,"Regulatory T cell","FOXP3"
7.18335919686208e-95,1.22564606370528,0.605,0.222,1.7876507697311e-90,"Regulatory T cell","CTLA4"
3.84567676214865e-93,1.20581798144324,0.534,0.175,9.57035119028312e-89,"Regulatory T cell","LTB"
1.28290736769256e-83,1.00238574881366,0.765,0.426,3.1926432752397e-79,"Regulatory T cell","S100A4"
1.49077364261286e-73,0.980006264678167,0.496,0.175,3.70993928700636e-69,"Regulatory T cell","MAF"
3.38487631447621e-70,0.950985209576208,0.654,0.309,8.4236031962055e-66,"Regulatory T cell","ICOS"
6.34243212567442e-68,0.932498582418351,0.57,0.25,1.57837765879534e-63,"Regulatory T cell","SPOCK2"
1.9639202295608e-66,1.11524512587749,0.322,0.087,4.88741188328501e-62,"Regulatory T cell","TBC1D4"
6.45123039077922e-49,0.927802859220098,0.301,0.097,1.60545319504932e-44,"Regulatory T cell","FURIN"
3.8691829159654e-45,0.815254609509344,0.402,0.165,9.6288486046715e-41,"Regulatory T cell","DUSP16"
2.35595810522331e-41,0.596197292454803,0.779,0.511,5.86303734065873e-37,"Regulatory T cell","TRAC"
5.25816439434867e-41,0.949536049136965,0.303,0.11,1.30854679117761e-36,"Regulatory T cell","UCP2"
1.14658629254972e-40,0.655360857413405,0.732,0.479,2.85339464763923e-36,"Regulatory T cell","IL32"
4.919998471537e-40,0.918251703527726,0.323,0.125,1.2243908196267e-35,"Regulatory T cell","CARD16"
3.08089433340671e-39,0.615926358140696,0.725,0.479,7.66711363811593e-35,"Regulatory T cell","CD2"
7.26399645304408e-38,0.65087270880703,0.637,0.379,1.80771815730455e-33,"Regulatory T cell","CD3D"
3.84426801589591e-30,0.616063359828708,0.75,0.575,9.56684538435856e-26,"Regulatory T cell","TRBC2"
5.43111686947516e-30,0.637582398333972,0.367,0.169,1.35158774413759e-25,"Regulatory T cell","PBXIP1"
3.54023863025982e-29,0.635122367870511,0.464,0.253,8.81023785526459e-25,"Regulatory T cell","PIM2"
3.5762568483335e-28,0.608090700097403,0.369,0.175,8.89987279276274e-24,"Regulatory T cell","RORA"
4.20019218467244e-24,0.637542783171044,0.358,0.183,1.04525982707758e-19,"Regulatory T cell","ARID5B"
2.07723021919453e-23,0.632275459418735,0.428,0.248,5.1693951234875e-19,"Regulatory T cell","CACYBP"
4.4910275849421e-23,0.883502748052983,0.308,0.154,1.11763712478869e-18,"Regulatory T cell","KLRB1"
3.62533815399788e-22,0.594878068748365,0.471,0.297,9.02201653003913e-18,"Regulatory T cell","NAMPT"
9.16272422787642e-22,0.560837044588711,0.36,0.194,2.28023555134933e-17,"Regulatory T cell","CTSC"
1.0413390812691e-20,0.549263045791732,0.355,0.191,2.59147643764627e-16,"Regulatory T cell","GBP5"
2.75263048678655e-20,0.568010580077283,0.323,0.169,6.85019622941701e-16,"Regulatory T cell","GMFG"
1.58566499367974e-19,0.65378136764013,0.464,0.296,3.94608590327139e-15,"Regulatory T cell","PMAIP1"
7.60852738261778e-19,0.537617262340317,0.39,0.228,1.89345812443826e-14,"Regulatory T cell","ARPC1B"
1.10024630613595e-17,0.5291016563591,0.36,0.211,2.73807295744993e-13,"Regulatory T cell","PKM"
4.35828180476814e-17,0.537171247098303,0.315,0.176,1.0846020099346e-12,"Regulatory T cell","SMAP2"
1.10850704697738e-13,0.537507343536954,0.365,0.237,2.75863063710792e-09,"Regulatory T cell","TIGIT"
1.18563683160828e-11,0.504432009940549,0.343,0.23,2.95057581914037e-07,"Regulatory T cell","RBPJ"
0,1.36234080330814,0.451,0.005,0,"Progenitor T cell","BIRC5"
7.86603353988605e-307,1.2289899483621,0.345,0.002,1.95754110673604e-302,"Progenitor T cell","DLGAP5"
8.92452462540057e-306,1.39913484737466,0.372,0.003,2.22095719827718e-301,"Progenitor T cell","RRM2"
1.59466623875109e-298,1.70753570374126,0.54,0.012,3.96848640175597e-294,"Progenitor T cell","TYMS"
1.86708873417971e-291,1.9412530907504,0.681,0.023,4.64643702387963e-287,"Progenitor T cell","TOP2A"
3.87380643282243e-254,1.89029029795937,0.575,0.019,9.64035468872189e-250,"Progenitor T cell","MKI67"
2.50044536824202e-240,1.17088320866152,0.319,0.003,6.2226083434071e-236,"Progenitor T cell","GTSE1"
1.42832797671103e-239,1.0716197164055,0.327,0.004,3.55453700284306e-235,"Progenitor T cell","HMMR"
5.06758839308063e-229,1.70450596554013,0.425,0.01,1.26112004750204e-224,"Progenitor T cell","ASPM"
