"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.31064753511074,0.861,0.521,0,"Basal Can","CEACAM5"
0,1.21841718222581,0.86,0.553,0,"Basal Can","CLDN7"
0,1.20077667026018,0.793,0.51,0,"Basal Can","TMBIM1"
0,0.906953938020064,0.945,0.834,0,"Basal Can","HLA-A"
0,0.783707720793836,0.993,0.975,0,"Basal Can","B2M"
9.68514857293126e-280,1.18740469049781,0.755,0.468,2.59716944131725e-275,"Basal Can","MYL12A"
5.36429172288199e-279,1.18741887838677,0.809,0.553,1.43848846840803e-274,"Basal Can","ATP1B1"
3.13700726367904e-251,1.07712834943913,0.688,0.293,8.4121986782817e-247,"Basal Can","FUT3"
3.40936097502546e-251,1.04086755864549,0.798,0.445,9.14254239062826e-247,"Basal Can","ERO1A"
5.96311173117996e-250,1.03906276069039,0.933,0.743,1.59906804183322e-245,"Basal Can","SPRR3"
1.8339793924427e-245,0.90597378657584,0.837,0.62,4.91799913877435e-241,"Basal Can","HLA-E"
3.20000526536488e-241,0.980150291897975,0.784,0.584,8.58113411960247e-237,"Basal Can","SERP1"
5.99549893189295e-226,0.640597564946335,0.978,0.933,1.60775299357641e-221,"Basal Can","SAT1"
1.15349516748706e-222,0.888886105664989,0.848,0.67,3.0932126411333e-218,"Basal Can","PPDPF"
4.31044695264916e-217,0.930915766930053,0.792,0.592,1.1558894548224e-212,"Basal Can","ALDOA"
1.0610302838016e-211,0.92396471265721,0.805,0.576,2.84525880904236e-207,"Basal Can","EMP1"
3.90220953810325e-208,1.36292366502102,0.547,0.181,1.04641650973777e-203,"Basal Can","FMO3"
8.00604633671767e-208,1.18851991507144,0.595,0.234,2.14690138565421e-203,"Basal Can","SCEL"
1.52281584262762e-191,0.981598613677809,0.735,0.537,4.08358296359023e-187,"Basal Can","HLA-C"
2.45957121065144e-186,1.0588979318273,0.569,0.246,6.59558615848289e-182,"Basal Can","TMEM30A"
1.49879894315333e-185,0.847659479645002,0.723,0.393,4.01917924595998e-181,"Basal Can","PRSS22"
3.35490866625931e-181,1.07935940092566,0.502,0.176,8.99652307944097e-177,"Basal Can","PLS1"
4.5781965216074e-181,1.10967282869829,0.679,0.355,1.22768917923424e-176,"Basal Can","SPINK5"
1.21595975973418e-178,0.852943078738364,0.732,0.507,3.26071769170317e-174,"Basal Can","MAP3K13"
1.01728185658159e-177,1.50752045504981,0.626,0.349,2.7279430266092e-173,"Basal Can","PLAU"
3.17086406015073e-177,1.17300924341187,0.425,0.094,8.50298906370019e-173,"Basal Can","MUC20"
5.07103455313046e-177,1.05482757322859,0.505,0.161,1.35984862576747e-172,"Basal Can","PRSS8"
1.84501345557803e-175,0.822727084601526,0.778,0.52,4.94758808247804e-171,"Basal Can","SPINT1"
2.13305164004396e-174,0.995181983320959,0.728,0.434,5.71999127794187e-170,"Basal Can","CEACAM6"
5.86460689848497e-171,0.961830828127997,0.603,0.29,1.57265298589773e-166,"Basal Can","IFNGR2"
2.084852351775e-170,0.998065521778165,0.551,0.226,5.59074006651984e-166,"Basal Can","KRT80"
1.10589537215479e-168,0.961951590218163,0.538,0.209,2.96556902997028e-164,"Basal Can","ADGRF1"
8.92768638802407e-168,0.947995867814498,0.45,0.125,2.39404838181254e-163,"Basal Can","PIK3IP1"
2.93016520857016e-166,1.02870718514808,0.782,0.606,7.85753102330175e-162,"Basal Can","HSPA5"
5.29130394452086e-165,0.847569672692895,0.735,0.474,1.41891606576271e-160,"Basal Can","FAM129B"
