"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.94425994956641,0.794,0.084,0,"Immune cell","SRGN"
0,2.66360519092975,0.674,0.092,0,"Immune cell","CXCR4"
0,2.64880749419256,0.549,0.059,0,"Immune cell","RGS1"
0,2.48860033877178,0.603,0.073,0,"Immune cell","RGCC"
0,2.46748463452528,0.614,0.126,0,"Immune cell","CREM"
0,2.42001210224635,0.465,0.039,0,"Immune cell","CD69"
0,2.41676217274116,0.628,0.05,0,"Immune cell","PTPRC"
0,2.40234789041384,0.41,0.032,0,"Immune cell","IL7R"
0,2.39171489722431,0.503,0.058,0,"Immune cell","TRBC2"
0,2.27177161642895,0.524,0.071,0,"Immune cell","DUSP2"
0,2.24392916137314,0.545,0.081,0,"Immune cell","VIM"
0,2.22315963563109,0.67,0.202,0,"Immune cell","TSC22D3"
0,2.20972911131601,0.748,0.371,0,"Immune cell","TNFAIP3"
0,2.16468092224029,0.453,0.031,0,"Immune cell","CD52"
0,2.12004712348872,0.425,0.036,0,"Immune cell","TRAC"
0,2.10555883546833,0.451,0.03,0,"Immune cell","FYB"
0,2.0720422770954,0.634,0.256,0,"Immune cell","ZFP36L2"
0,2.02686702806591,0.395,0.031,0,"Immune cell","CD2"
0,2.01204700999873,0.452,0.045,0,"Immune cell","SLC2A3"
0,1.98321537897561,0.351,0.042,0,"Immune cell","GPR183"
0,1.9766665443717,0.554,0.145,0,"Immune cell","STK17B"
0,1.96206840171015,0.522,0.113,0,"Immune cell","MYADM"
0,1.92086403815042,0.476,0.076,0,"Immune cell","RAC2"
0,1.91920154858744,0.304,0.022,0,"Immune cell","ICOS"
0,1.91468070617603,0.403,0.058,0,"Immune cell","ZNF331"
0,1.88981336801125,0.819,0.508,0,"Immune cell","BTG1"
0,1.87402366201343,0.408,0.06,0,"Immune cell","RUNX3"
0,1.84152743829012,0.367,0.096,0,"Immune cell","RGS2"
0,1.82731079112899,0.44,0.138,0,"Immune cell","CNOT6L"
0,1.81450732528506,0.656,0.292,0,"Immune cell","NAP1L1"
0,1.80848152515096,0.36,0.022,0,"Immune cell","CD48"
0,1.80421430040021,0.523,0.259,0,"Immune cell","NR4A2"
0,1.78010340522439,0.393,0.028,0,"Immune cell","WIPF1"
0,1.75890630295458,0.397,0.081,0,"Immune cell","ETS1"
0,1.71964683178899,0.83,0.548,0,"Immune cell","KLF6"
0,1.71173420274029,0.539,0.283,0,"Immune cell","ID2"
0,1.68686232897076,0.511,0.16,0,"Immune cell","CD44"
0,1.68465149766487,0.332,0.019,0,"Immune cell","CYTIP"
0,1.64567535754614,0.366,0.111,0,"Immune cell","S100A4"
0,1.6324480862321,0.747,0.414,0,"Immune cell","SRSF7"
0,1.63068921614428,0.54,0.265,0,"Immune cell","BIRC3"
0,1.59420568544235,0.348,0.097,0,"Immune cell","PIM2"
0,1.58604563784152,0.949,0.77,0,"Immune cell","EEF1A1"
0,1.5615640112566,0.564,0.272,0,"Immune cell","SNHG5"
0,1.53698703438738,0.313,0.035,0,"Immune cell","FYN"
0,1.52091573626418,0.376,0.089,0,"Immune cell","IL2RG"
0,1.50364425179084,0.881,0.661,0,"Immune cell","JUND"
0,1.50320626766442,0.303,0.017,0,"Immune cell","CD53"
0,1.47153623263897,0.651,0.456,0,"Immune cell","YPEL5"
0,1.46152528335226,0.4,0.097,0,"Immune cell","SNORD3A"
0,1.32560466887274,0.76,0.515,0,"Immune cell","DDX5"
0,1.30221120691824,0.585,0.37,0,"Immune cell","PFN1"
0,1.2848863686233,0.628,0.405,0,"Immune cell","SRSF2"
0,1.23560555481459,0.761,0.551,0,"Immune cell","HSPA8"
0,1.22404233103463,0.673,0.439,0,"Immune cell","HNRNPA1"
0,1.16338257618876,0.636,0.465,0,"Immune cell","BRD2"
0,1.1020709325768,0.813,0.636,0,"Immune cell","CALM1"
0,1.07353484071007,0.949,0.775,0,"Immune cell","PTMA"
0,1.01284448027361,0.894,0.712,0,"Immune cell","EIF1"
0,0.84165180336151,0.845,0.768,0,"Immune cell","PABPC1"
0,0.787895913030432,0.852,0.718,0,"Immune cell","FOSB"
0,0.76251950381959,0.962,0.886,0,"Immune cell","TMSB4X"
0,0.753280591676478,0.964,0.878,0,"Immune cell","TPT1"
0,0.501388303246951,0.943,0.859,0,"Immune cell","HLA-B"
5.15674122645865e-308,1.34150885443231,0.485,0.246,1.38283172728715e-303,"Immune cell","ARHGDIB"
2.27914278148906e-300,0.797279959517418,0.802,0.681,6.11174928284106e-296,"Immune cell","HSP90AB1"
1.58443626339438e-290,1.37451614353242,0.549,0.371,4.24882428391837e-286,"Immune cell","SARAF"
1.95587765310059e-288,1.53643413558422,0.333,0.096,5.24488151455455e-284,"Immune cell","FAM46C"
2.25000592501196e-278,1.37145156707719,0.521,0.326,6.03361588851206e-274,"Immune cell","EEF1B2"
5.31576384496201e-278,1.25830458834893,0.466,0.227,1.42547523266501e-273,"Immune cell","SOD1"
2.9692712523461e-274,1.23556969123724,0.539,0.351,7.9623977902913e-270,"Immune cell","CLK1"
2.86984374925539e-273,1.10893415284601,0.597,0.436,7.69577299800326e-269,"Immune cell","SRSF3"
2.55796492888625e-271,1.816072632336,0.339,0.107,6.85943875330136e-267,"Immune cell","DUSP4"
1.75714512986576e-255,1.06843543759149,0.609,0.484,4.71196038024802e-251,"Immune cell","SRSF5"
1.05827137519295e-254,0.908188032223792,0.648,0.512,2.83786051971741e-250,"Immune cell","NPM1"
3.26464425363986e-251,1.42585215381238,0.481,0.293,8.75447003056065e-247,"Immune cell","ELF1"
1.14134954173932e-244,0.886774736311744,0.69,0.609,3.06064293112815e-240,"Immune cell","DDX3X"
4.83867857660531e-240,0.962168668764344,0.631,0.519,1.29754004710248e-235,"Immune cell","UBB"
6.44859694455982e-238,1.50730469763687,0.386,0.174,1.72925575665316e-233,"Immune cell","ARL4C"
2.33562454484223e-237,0.950606945947111,0.593,0.446,6.26321077944892e-233,"Immune cell","SFPQ"
1.35928400414995e-236,1.4041113860434,0.365,0.152,3.64505598552851e-232,"Immune cell","ODC1"
1.49160549498209e-224,1.14713215409742,0.529,0.36,3.99988929534397e-220,"Immune cell","HEXIM1"
1.21490543154609e-217,1.42562562181201,0.444,0.262,3.25789040523398e-213,"Immune cell","ZC3HAV1"
4.58113768216167e-215,1.13715217278853,0.541,0.409,1.22847788084847e-210,"Immune cell","PNRC1"
7.21367611214707e-213,0.938973735248823,0.577,0.439,1.93441938623336e-208,"Immune cell","NCL"
1.5138833215294e-206,1.19516763758755,0.451,0.269,4.05962951501324e-202,"Immune cell","GAS5"
9.96735126186191e-193,0.960381662903497,0.616,0.486,2.67284491438089e-188,"Immune cell","ZFP36L1"
9.79622929213127e-192,0.686658610152507,0.802,0.731,2.62695684697792e-187,"Immune cell","ZFP36"
4.46914998776658e-188,0.883215579823606,0.592,0.498,1.19844726071949e-183,"Immune cell","RBM39"
1.05898724946003e-187,0.88794190836608,0.613,0.535,2.83978020815203e-183,"Immune cell","RACK1"
1.25774520504344e-186,1.02324957699452,0.528,0.397,3.37276954184448e-182,"Immune cell","ATF4"
5.86564780424253e-185,0.979712492342185,0.521,0.382,1.57293211518568e-180,"Immune cell","PTMAP5"
4.93004293959538e-172,1.0759728054051,0.42,0.25,1.3220403146819e-167,"Immune cell","SLC38A2"
3.56390898750999e-165,0.740648918082839,0.783,0.71,9.55697834090679e-161,"Immune cell","FOS"
2.34085843223108e-162,1.40500447172826,0.328,0.157,6.27724597187087e-158,"Immune cell","KLF2"
8.43261858242604e-145,0.711451023402952,0.658,0.63,2.26129099906337e-140,"Immune cell","MCL1"
9.76375779286909e-140,1.07895291585835,0.459,0.343,2.61824928973578e-135,"Immune cell","KMT2E"
5.9511057393536e-135,1.21495595858522,0.403,0.275,1.59584851506506e-130,"Immune cell","FAM107B"
7.08435557589051e-130,0.667151982458627,0.686,0.637,1.8997407912308e-125,"Immune cell","DNAJA1"
4.24601521683129e-129,1.19324365410004,0.346,0.211,1.13861144054548e-124,"Immune cell","ARL6IP5"
1.85275450139933e-118,0.843786041403532,0.485,0.391,4.96834647095244e-114,"Immune cell","HNRNPH1"
7.65317440006834e-118,1.10480792482614,0.323,0.189,2.05227524712233e-113,"Immune cell","SNHG6"
2.09650507237011e-117,0.918220208073815,0.479,0.403,5.62198800206768e-113,"Immune cell","HNRNPDL"
1.11669782666924e-116,1.10743400452123,0.328,0.193,2.99453689199623e-112,"Immune cell","CHD1"
6.68659947491799e-113,0.696562404964965,0.605,0.522,1.79307851519401e-108,"Immune cell","JUN"
1.08689860426732e-110,0.92990836420397,0.481,0.411,2.91462729720324e-106,"Immune cell","EIF5"
1.23521995950401e-110,1.11432326761688,0.325,0.199,3.31236584340594e-106,"Immune cell","CSRNP1"
3.15982470523255e-110,0.946429170632097,0.481,0.42,8.4733859295516e-106,"Immune cell","FAU"
1.03230438647028e-107,0.650207327629854,0.592,0.575,2.7682274427587e-103,"Immune cell","EIF4G2"
4.23529725543408e-106,1.05461479144006,0.435,0.352,1.1357373120172e-101,"Immune cell","TOMM7"
1.04539698562203e-101,1.08080664500568,0.357,0.247,2.80333655664403e-97,"Immune cell","IVNS1ABP"
5.47660457848805e-100,1.13952398250668,0.437,0.362,1.46860628376735e-95,"Immune cell","GADD45B"
2.90275650135466e-97,0.61344533101448,0.589,0.558,7.78403183403264e-93,"Immune cell","HNRNPA2B1"
4.58416142553963e-97,1.04136296704614,0.321,0.203,1.22928872787271e-92,"Immune cell","DDX21"
3.23225395524424e-96,1.01574631820473,0.342,0.228,8.66761220638295e-92,"Immune cell","NOP58"
3.8455440417114e-96,1.05635338416695,0.347,0.239,1.03122109022533e-91,"Immune cell","DDX24"
1.54064546176684e-89,0.624006027784668,0.62,0.595,4.13139487027395e-85,"Immune cell","NFKBIA"
1.45971668265929e-87,1.04536569099835,0.326,0.222,3.91437625621915e-83,"Immune cell","LRRC75A-AS1"
2.38218623813477e-81,0.835225249085459,0.489,0.467,6.3880706161822e-77,"Immune cell","PFDN5"
1.71366553881234e-74,1.2171433025718,0.584,0.539,4.59536550887917e-70,"Immune cell","CD74"
1.00745009433182e-71,1.0194535641348,0.351,0.278,2.70157817296021e-67,"Immune cell","PPP2R5C"
1.76282878962229e-71,0.856144374572139,0.364,0.271,4.72720168225114e-67,"Immune cell","BTG2"
1.9902544953604e-71,0.919595018029393,0.384,0.319,5.33706645475844e-67,"Immune cell","MBNL1"
2.20739785436348e-71,0.927915820533558,0.337,0.251,5.91935808626112e-67,"Immune cell","TAF1D"
7.80943192199206e-71,0.892924231211383,0.401,0.345,2.09417726420139e-66,"Immune cell","SF3B1"
2.32594221748697e-68,0.629819004698812,0.543,0.554,6.23724665041307e-64,"Immune cell","ATP5E"
1.74261996694457e-66,0.619970904792519,0.588,0.596,4.67300970335856e-62,"Immune cell","EZR"
3.48652899020769e-65,0.90771657206453,0.387,0.33,9.34947614014094e-61,"Immune cell","BCLAF1"
2.46181402417675e-63,0.801828092044552,0.408,0.356,6.60160048723237e-59,"Immune cell","CALM2"
6.9993201721007e-62,0.861298542897947,0.383,0.323,1.87693769735052e-57,"Immune cell","EEF1D"
