"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
2.16770901922828e-293,1.87336251871092,0.842,0.358,5.81292850596255e-289,"T cell","TNFAIP3"
6.75685485233465e-195,1.01522067153189,0.871,0.473,1.81191819720206e-190,"T cell","SRGN"
4.04754320893401e-176,2.11195251953989,0.515,0.047,1.08538918690775e-171,"T cell","TRAC"
2.54602333262382e-169,1.81605373779887,0.591,0.139,6.82741616876404e-165,"T cell","TRBC2"
4.74422347146385e-166,2.20561480939691,0.481,0.038,1.27221096610775e-161,"T cell","CD2"
6.79985634753024e-157,2.3123396510806,0.493,0.065,1.82344947815371e-152,"T cell","IL7R"
4.74719986928061e-150,1.36643829628298,0.677,0.293,1.27300911694629e-145,"T cell","RGCC"
4.85085731317228e-147,1.76139860781649,0.53,0.127,1.30080589710028e-142,"T cell","FYB"
5.13809392950523e-122,2.14831653622327,0.373,0.016,1.37783126813612e-117,"T cell","ICOS"
1.41974349158977e-120,1.89725813226077,0.368,0.015,3.80718414704713e-116,"T cell","CD3D"
3.77570803870385e-116,2.14015728862215,0.367,0.022,1.01249386765883e-111,"T cell","TRBC1"
1.88620974605792e-113,0.7084797887278,0.851,0.657,5.05806005502891e-109,"T cell","CALM1"
5.9371522415929e-111,1.15916955254323,0.61,0.244,1.59210674510555e-106,"T cell","ID2"
1.00313461599616e-103,1.78835182591053,0.352,0.033,2.69000578625531e-99,"T cell","IL32"
1.09418974106309e-102,1.31357192082891,0.463,0.122,2.93417920963477e-98,"T cell","ETS1"
1.45053643029552e-101,0.994008096092714,0.672,0.373,3.88975849148045e-97,"T cell","CREM"
8.93563893799428e-98,1.65645750304556,0.314,0.013,2.39618093761255e-93,"T cell","CD3E"
1.67506614255176e-97,1.41727949952244,0.375,0.057,4.49185736786681e-93,"T cell","FYN"
3.12268557278395e-93,1.18067713679849,0.502,0.182,8.37379363197745e-89,"T cell","CNOT6L"
1.02524447180231e-87,1.64501246272252,0.334,0.047,2.74929557558506e-83,"T cell","ITM2A"
3.34629152558482e-87,0.669012076083203,0.852,0.681,8.97341535500827e-83,"T cell","BTG1"
1.83630180337232e-82,1.36767639511238,0.334,0.051,4.92422691592322e-78,"T cell","SPOCK2"
1.30139020080077e-79,1.35006394353395,0.6,0.369,3.48980796246734e-75,"T cell","ANXA1"
7.35890760911933e-74,0.770946120357322,0.67,0.455,1.97336466446144e-69,"T cell","PTPRC"
3.28500767741134e-62,0.774233795126909,0.674,0.47,8.80907658774626e-58,"T cell","ZFP36L2"
2.82910802435589e-60,1.00549186495297,0.434,0.188,7.58653607811276e-56,"T cell","ARL4C"
5.84602964191036e-59,0.749669774841241,0.588,0.384,1.56767130877468e-54,"T cell","SARAF"
6.17000083544921e-57,0.760871192614755,0.593,0.392,1.65454742403406e-52,"T cell","STK17B"
6.17931852598268e-56,0.871908782854381,0.507,0.293,1.65704605592751e-51,"T cell","SOD1"
1.34714871037408e-52,0.594649129190684,0.706,0.523,3.61251398173913e-48,"T cell","TSC22D3"
2.82439088779711e-51,1.09947623507957,0.382,0.162,7.57388660471673e-47,"T cell","DUSP4"
2.78824966475019e-47,0.506312394776237,0.771,0.645,7.47697030099411e-43,"T cell","SRSF7"
1.34246387617916e-41,1.01375297937308,0.322,0.137,3.59995113036203e-37,"T cell","IRS2"
2.56891882010294e-40,0.657310332478447,0.525,0.339,6.88881270798803e-36,"T cell","LDHA"
2.3264252778135e-33,0.657637306659886,0.47,0.299,6.23854202498469e-29,"T cell","ARID4B"
8.24722992533025e-32,0.694700472948689,0.399,0.231,2.21157717677656e-27,"T cell","S100A4"
1.12305893781857e-30,0.557194393093395,0.476,0.312,3.01159484765428e-26,"T cell","ZC3HAV1"
1.21074579490079e-30,0.757476054620244,0.329,0.17,3.24673592360597e-26,"T cell","PDCD4"
1.80917480239354e-30,0.701877087542262,0.381,0.228,4.85148315009851e-26,"T cell","PPP2R5C"
6.20024682111397e-28,0.628289244503948,0.442,0.295,1.66265818754992e-23,"T cell","TOB1"
2.16923299181674e-27,0.691020302495017,0.402,0.265,5.81701519085576e-23,"T cell","IL2RG"
1.12748334083563e-25,0.784142309374662,0.301,0.164,3.02345932678483e-21,"T cell","NR3C1"
4.91535703045277e-24,0.647795128894434,0.372,0.242,1.31810214128622e-19,"T cell","DDX24"
1.02674092853555e-23,0.569718720710267,0.314,0.174,2.75330847396093e-19,"T cell","SAMSN1"
3.15634508244424e-22,0.633563956396251,0.325,0.201,8.46405497308246e-18,"T cell","PPP1CB"
5.11494783086472e-22,0.577676310687412,0.432,0.311,1.37162441032468e-17,"T cell","RUNX3"
2.99946753664837e-21,0.566114087107959,0.382,0.256,8.04337214627627e-17,"T cell","IVNS1ABP"
2.3140136625473e-18,0.565012373169064,0.367,0.258,6.20525903748685e-14,"T cell","ARL6IP5"
1.89794184434608e-16,0.535290528956235,0.307,0.199,5.08952084979845e-12,"T cell","IFITM2"
9.34098984125682e-14,0.540865771440165,0.326,0.238,2.50487983583143e-09,"T cell","AMD1"
2.49233494462726e-13,0.528360127370511,0.359,0.274,6.68344538751246e-09,"T cell","NOP58"
4.26509410945123e-13,0.509547204282592,0.313,0.221,1.14372763639044e-08,"T cell","DDIT4"
0,3.23405508646551,0.766,0.015,0,"B cell","MS4A1"
0,2.41924915932532,0.555,0.022,0,"B cell","CD79A"
0,2.36264724528213,0.468,0.008,0,"B cell","BANK1"
0,2.18906893068039,0.935,0.151,0,"B cell","HLA-DRA"
0,1.93735648365399,0.992,0.526,0,"B cell","CD74"
0,1.89912130369379,0.312,0.005,0,"B cell","CD22"
1.06941168600469e-293,1.80764396782859,0.345,0.016,2.86773437719019e-289,"B cell","IGHM"
2.99884610203673e-276,1.56423230370065,0.692,0.153,8.04170570722169e-272,"B cell","HLA-DPA1"
4.19995507759032e-220,1.75165722669407,0.311,0.023,1.12625995360662e-215,"B cell","MEF2C"
6.57669483368581e-209,1.4544520424873,0.557,0.119,1.76360648660119e-204,"B cell","HLA-DRB1"
5.77755693795477e-195,1.67912357109219,0.548,0.127,1.54930966848195e-190,"B cell","CD83"
7.72531972202151e-174,1.38429228083073,0.548,0.14,2.07162173665729e-169,"B cell","HLA-DPB1"
8.59544812747497e-149,1.5035978345936,0.312,0.045,2.30495536986369e-144,"B cell","HLA-DMB"
1.2519071853525e-144,1.424755732504,0.324,0.051,3.35711430824126e-140,"B cell","IRF8"
8.77848127831701e-104,1.37639067644608,0.318,0.072,2.35403753959349e-99,"B cell","HLA-DMA"
6.14868417954567e-95,1.33263210854781,0.312,0.074,1.64883114958697e-90,"B cell","POU2F2"
4.00472351769703e-80,1.26063672152799,0.335,0.101,1.07390665850564e-75,"B cell","CD37"
2.11536715118322e-48,0.761080049670523,0.649,0.439,5.67256855261291e-44,"B cell","CD69"
1.50605009460891e-47,0.780753664538751,0.53,0.299,4.03862393370324e-43,"B cell","KLF2"
1.23619058555923e-46,0.905264343594196,0.459,0.246,3.31496867423564e-42,"B cell","CD55"
