"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
3.12293566126983e-113,1.02255149937439,0.611,0.328,8.37446426926116e-109,"Tconv cell","IL7R"
1.94950037617847e-91,1.00770119791641,0.673,0.497,5.22778020876018e-87,"Tconv cell","ANXA1"
1.6268262593175e-66,0.525919639713638,0.923,0.896,4.36249729698582e-62,"Tconv cell","MTATP6P1"
2.12231275774893e-57,0.62846905661338,0.817,0.741,5.69119389117952e-53,"Tconv cell","FOS"
1.10438917827142e-55,0.531954650752864,0.827,0.78,2.96153002045264e-51,"Tconv cell","MTND1P23"
3.25520357481147e-46,0.84039905744886,0.371,0.199,8.72915390621443e-42,"Tconv cell","KLF2"
1.92811176128917e-37,0.573408082796095,0.628,0.533,5.17042449907304e-33,"Tconv cell","JUN"
8.12804901096084e-23,0.5161226268466,0.533,0.456,2.17961762277926e-18,"Tconv cell","JUNB"
1.90237146153471e-20,0.618969424688292,0.492,0.417,5.10139931125148e-16,"Tconv cell","CD69"
7.64971963020634e-15,0.664749747749794,0.371,0.307,2.05134881603613e-10,"Tconv cell","MTRNR2L12"
9.72202037286058e-11,0.516438592580977,0.309,0.251,2.60705698318629e-06,"Tconv cell","PTGER4"
2.36770087842834e-09,0.52741222067089,0.363,0.313,6.34922667559343e-05,"Tconv cell","EGR1"
4.42745735628868e-05,0.515999602576298,0.404,0.408,1,"Tconv cell","S100A8"
0.00183399825329975,1.78903565730059,0.369,0.378,1,"Tconv cell","HBB"
0,2.15300742020815,0.678,0.048,0,"Cytotoxic T cell","CD8A"
2.8706471558126e-296,1.60617201931351,0.786,0.155,7.69792741302706e-292,"Cytotoxic T cell","CCL5"
1.19514974274003e-250,1.58781047128067,0.607,0.097,3.20491355013167e-246,"Cytotoxic T cell","GZMA"
2.82217184443113e-246,1.88490621358526,0.416,0.032,7.56793601802651e-242,"Cytotoxic T cell","CRTAM"
3.97310942312815e-243,1.74239215391706,0.437,0.04,1.06542902290604e-238,"Cytotoxic T cell","GZMK"
3.63839806703613e-219,1.2564674808905,0.608,0.107,9.75672825656409e-215,"Cytotoxic T cell","NKG7"
4.61060703233904e-138,1.36893119564475,0.39,0.067,1.23638038179204e-133,"Cytotoxic T cell","CCL4"
1.16407364744576e-115,1.50725206452083,0.332,0.058,3.12157989299055e-111,"Cytotoxic T cell","IFNG"
1.72625273894915e-94,1.0315341844642,0.369,0.091,4.62911934476605e-90,"Cytotoxic T cell","APOBEC3G"
7.4330265752547e-82,0.961651419075745,0.32,0.074,1.9932404064203e-77,"Cytotoxic T cell","GZMB"
2.89339791379543e-80,0.865398371524267,0.314,0.075,7.75893584563383e-76,"Cytotoxic T cell","HLA-DRA"
