"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.49768412493196,0.895,0.407,0,"FAM107A+ Astrocyte","KIF5A"
0,3.08818239984275,0.993,0.867,0,"FAM107A+ Astrocyte","BCYRN1"
0,2.98456741127123,0.809,0.264,0,"FAM107A+ Astrocyte","FAM107A"
0,2.84935629441319,0.93,0.662,0,"FAM107A+ Astrocyte","MBP"
0,2.80209412369101,0.976,0.733,0,"FAM107A+ Astrocyte","MTND2P28"
0,2.6831250425903,0.995,0.912,0,"FAM107A+ Astrocyte","MTND1P23"
0,2.65918155093513,0.768,0.377,0,"FAM107A+ Astrocyte","MAN1A2"
0,2.32077500624805,0.824,0.611,0,"FAM107A+ Astrocyte","KIF5C"
0,2.15282574706832,1,0.992,0,"FAM107A+ Astrocyte","MTATP6P1"
0,2.12952868706564,0.947,0.806,0,"FAM107A+ Astrocyte","MTRNR2L12"
0,1.07509629947779,0.917,0.941,0,"FAM107A+ Astrocyte","FTH1"
3.55014693619414e-269,2.4641926548227,0.721,0.391,9.01027292406072e-265,"FAM107A+ Astrocyte","MTURN"
2.88108102334076e-260,2.03612929127823,0.762,0.563,7.31218363723886e-256,"FAM107A+ Astrocyte","NDRG2"
3.50917333053868e-260,2.08023209686905,0.745,0.468,8.90628191290717e-256,"FAM107A+ Astrocyte","CAMK2N1"
1.51852353953106e-237,1.45290168304228,0.804,0.773,3.85401274332984e-233,"FAM107A+ Astrocyte","MTCO1P12"
6.07582456610348e-229,1.51890588725665,0.825,0.781,1.54204427487706e-224,"FAM107A+ Astrocyte","GFAP"
2.90408630898615e-196,2.03991129108638,0.676,0.46,7.37057105220685e-192,"FAM107A+ Astrocyte","MTCO2P12"
6.67904398261202e-180,0.869513539071429,0.863,0.892,1.69514136278693e-175,"FAM107A+ Astrocyte","MT3"
1.46321953638259e-153,2.34008655379275,0.358,0.06,3.71365118333902e-149,"FAM107A+ Astrocyte","CAMK2A"
1.2415071841253e-120,2.25248299587644,0.399,0.132,3.15094523331e-116,"FAM107A+ Astrocyte","MOBP"
6.63517774910878e-119,1.08526292744476,0.705,0.756,1.68400811272381e-114,"FAM107A+ Astrocyte","FTL"
1.49933432117024e-111,1.82700002383695,0.608,0.533,3.80531050713008e-107,"FAM107A+ Astrocyte","IDS"
6.65723513809556e-76,1.81454174485668,0.433,0.261,1.68960627804865e-71,"FAM107A+ Astrocyte","MTND4P12"
1.35115209982277e-75,0.915500855232516,0.681,0.821,3.42922402935018e-71,"FAM107A+ Astrocyte","TPT1"
4.07536116266989e-66,0.972401469417362,0.652,0.728,1.03432666308562e-61,"FAM107A+ Astrocyte","CST3"
1.27946018142755e-65,1.67831519291898,0.484,0.385,3.24726994046312e-61,"FAM107A+ Astrocyte","MTCO3P12"
2.96329484861969e-63,1.39233578831207,0.494,0.379,7.52084232579678e-59,"FAM107A+ Astrocyte","PLP1"
6.24326010448345e-63,1.34731099340532,0.369,0.184,1.5845394145179e-58,"FAM107A+ Astrocyte","BCAS1"
3.72420718436088e-53,0.557821053166634,0.769,0.949,9.45203783390792e-49,"FAM107A+ Astrocyte","CALM1"
3.86481870262764e-51,1.8250774939782,0.388,0.263,9.80890986726895e-47,"FAM107A+ Astrocyte","KIF1A"
5.35863449789318e-44,1.58081588138635,0.494,0.496,1.36002143556529e-39,"FAM107A+ Astrocyte","KIF5B"
2.37296230375532e-43,1.68899941509782,0.307,0.175,6.022578326931e-39,"FAM107A+ Astrocyte","MTRNR2L1"
2.89198294880615e-37,0.902279565896447,0.597,0.787,7.33985272407002e-33,"FAM107A+ Astrocyte","TOMM7"
1.18726626585293e-34,0.635119559713562,0.653,0.885,3.01328178273474e-30,"FAM107A+ Astrocyte","NDUFA4"
5.8135730986795e-34,0.537002876183407,0.139,0.363,1.47548485244486e-29,"FAM107A+ Astrocyte","QDPR"
2.90540297693399e-33,0.534550221748114,0.17,0.422,7.37391275545846e-29,"FAM107A+ Astrocyte","CTNND2"
6.05241504096925e-33,1.64459256034661,0.35,0.263,1.536102937398e-28,"FAM107A+ Astrocyte","ALDOC"
