"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.84683112656636,0.915,0.514,0,"Astrocyte","BCYRN1"
0,2.61597489384538,0.643,0.154,0,"Astrocyte","PTPRZ1"
0,2.5499913005024,0.738,0.163,0,"Astrocyte","GPM6A"
0,2.20938225710218,0.618,0.082,0,"Astrocyte","FABP7"
0,2.17986692465583,0.881,0.345,0,"Astrocyte","MT3"
0,2.15180397621795,0.692,0.231,0,"Astrocyte","KIF5C"
0,1.99755004424501,0.718,0.171,0,"Astrocyte","TUBB2B"
0,1.99416945178471,0.61,0.095,0,"Astrocyte","MAP2"
0,1.98644896071655,0.538,0.095,0,"Astrocyte","BCAN"
0,1.95074316636381,0.507,0.042,0,"Astrocyte","SCG3"
0,1.92543726987135,0.581,0.081,0,"Astrocyte","TSPAN7"
0,1.89013086289627,0.798,0.402,0,"Astrocyte","GFAP"
0,1.74324241110847,0.507,0.068,0,"Astrocyte","GAP43"
0,1.73000748303684,0.459,0.054,0,"Astrocyte","STMN2"
0,1.72870170137925,0.643,0.201,0,"Astrocyte","C1orf61"
0,1.6726423024218,0.526,0.155,0,"Astrocyte","PEG10"
0,1.66843984616623,0.522,0.148,0,"Astrocyte","PMP2"
0,1.66797578415484,0.559,0.145,0,"Astrocyte","FXYD6"
0,1.63820778502654,0.411,0.042,0,"Astrocyte","TNR"
0,1.62835983723867,0.427,0.04,0,"Astrocyte","HMP19"
0,1.60763371148839,0.457,0.058,0,"Astrocyte","LINC00461"
0,1.58666965911554,0.425,0.057,0,"Astrocyte","NNAT"
0,1.56103830394121,0.995,0.965,0,"Astrocyte","MTATP6P1"
0,1.5604376305235,0.465,0.103,0,"Astrocyte","SOX9"
0,1.54418517651737,0.796,0.431,0,"Astrocyte","NDUFA4"
0,1.53352905307227,0.488,0.094,0,"Astrocyte","SOX2"
0,1.51752005734472,0.554,0.118,0,"Astrocyte","CPE"
0,1.51307261982591,0.466,0.103,0,"Astrocyte","CSPG5"
0,1.48925869226094,0.509,0.099,0,"Astrocyte","BAALC"
0,1.48810790516277,0.455,0.093,0,"Astrocyte","SERPINE2"
0,1.48144242513236,0.642,0.249,0,"Astrocyte","PTN"
0,1.4204849286003,0.458,0.087,0,"Astrocyte","GRIA2"
0,1.41902820197143,0.646,0.247,0,"Astrocyte","UCHL1"
0,1.40923488648428,0.489,0.105,0,"Astrocyte","SCRG1"
0,1.39553469979145,0.465,0.069,0,"Astrocyte","DPYSL3"
0,1.37964733100364,0.48,0.112,0,"Astrocyte","PFN2"
0,1.37011521092964,0.406,0.052,0,"Astrocyte","NDRG4"
0,1.35782287509073,0.588,0.241,0,"Astrocyte","SRI"
0,1.34254371641222,0.512,0.131,0,"Astrocyte","BEX1"
0,1.05975054081622,0.73,0.323,0,"Astrocyte","S100B"
1.36645010268266e-306,1.23055440148647,0.383,0.039,3.46805036060859e-302,"Astrocyte","FHL1"
4.99004400560804e-302,1.17544432106155,0.354,0.025,1.26647316862332e-297,"Astrocyte","SLC35F1"
1.39999283022199e-299,0.956073815808406,0.761,0.603,3.5531818031034e-295,"Astrocyte","YWHAE"
1.86672377883251e-295,1.32113714564773,0.425,0.075,4.73774495067692e-291,"Astrocyte","ABAT"
2.02184918281409e-291,2.67175402106306,0.594,0.249,5.13145322598215e-287,"Astrocyte","KIF5A"
1.01893742783253e-289,0.753391751573246,0.835,0.806,2.58606319183897e-285,"Astrocyte","GNAS"
1.19528411650087e-289,1.2331171293458,0.429,0.077,3.0336310876792e-285,"Astrocyte","NREP"
2.02298117762187e-289,1.30640101256139,0.488,0.136,5.13432622880431e-285,"Astrocyte","NOVA1"
5.17398890716852e-288,1.30035406812588,0.498,0.143,1.31315838463937e-283,"Astrocyte","CNN3"
2.64153808558226e-282,1.19439255219918,0.594,0.252,6.70422366120778e-278,"Astrocyte","BEX3"
4.76167349865957e-282,1.20134655524946,0.617,0.261,1.2085127339598e-277,"Astrocyte","SCD5"
1.33651708350511e-279,1.37887638366309,0.429,0.088,3.39208035793597e-275,"Astrocyte","ATP1B2"
3.49233660426313e-274,1.2966295767868,0.578,0.252,8.86355030161982e-270,"Astrocyte","RAB31"
1.18560698926266e-272,1.23900916366866,0.359,0.044,3.00907053874863e-268,"Astrocyte","SEMA5A"
5.4423036035822e-272,1.07901823496194,0.333,0.028,1.38125665458916e-267,"Astrocyte","CRMP1"
1.69144618489149e-271,1.33970433995436,0.365,0.05,4.29289041725461e-267,"Astrocyte","PDGFRA"
1.18739718958391e-270,1.5198187753877,0.352,0.04,3.01361406716396e-266,"Astrocyte","SNAP25"
1.8005169794947e-269,1.30516995472933,0.421,0.091,4.56971209395755e-265,"Astrocyte","DPP6"
1.81913970013446e-267,2.26845937665966,0.473,0.141,4.61697655894126e-263,"Astrocyte","FAM107A"
1.48212659403038e-265,1.16517958727715,0.317,0.022,3.76163729564911e-261,"Astrocyte","CNTN1"
4.44479142922895e-265,1.11669149760481,0.326,0.027,1.12808806473831e-260,"Astrocyte","FOXG1"
4.47307917898552e-263,1.35298334112702,0.336,0.035,1.13526749562653e-258,"Astrocyte","SCG2"
1.61669343569853e-262,1.20592884457923,0.347,0.042,4.10316793980286e-258,"Astrocyte","NRCAM"
5.88768991874293e-262,1.16677339669549,0.327,0.031,1.49429570137696e-257,"Astrocyte","NCAN"
1.08736085733883e-257,1.65749556227402,0.337,0.039,2.75972185592595e-253,"Astrocyte","OLFM1"
2.61817408841316e-253,1.15116117696747,0.377,0.067,6.64492583639259e-249,"Astrocyte","MLLT11"
3.02634285383522e-251,1.48199793409197,0.322,0.033,7.68085816303380e-247,"Astrocyte","DLL3"
5.84024521017137e-250,1.07258458369183,0.669,0.411,1.48225423434149e-245,"Astrocyte","LDHB"
7.48177842660096e-250,1.13052196736984,0.405,0.083,1.89887536467132e-245,"Astrocyte","ZEB1"
1.72936955172192e-245,1.10691238205137,0.302,0.023,4.38913992227023e-241,"Astrocyte","NRXN1"
8.21707644791433e-241,1.37834744435935,0.442,0.123,2.08549400248066e-236,"Astrocyte","DTNA"
2.30083931757692e-237,1.14335715711438,0.42,0.107,5.83953018801021e-233,"Astrocyte","TRIB2"
3.40211971361705e-236,0.899949671391598,0.448,0.117,8.63457983316007e-232,"Astrocyte","VCAN"
4.51288314375940e-235,1.16108842255857,0.48,0.155,1.14536974188613e-230,"Astrocyte","ITM2C"
4.56050019474295e-235,0.974135180485298,0.74,0.54,1.15745494942576e-230,"Astrocyte","PEA15"
8.31109828108934e-233,0.843320114664004,0.378,0.072,2.10935674374048e-228,"Astrocyte","THY1"
5.11402950538624e-231,1.07215894024853,0.339,0.053,1.29794068846703e-226,"Astrocyte","WSCD1"
4.91922715696691e-228,1.01629132815394,0.363,0.07,1.2484998524382e-223,"Astrocyte","GOLM1"
1.75866804540948e-226,0.986726885698128,0.308,0.036,4.46349949924926e-222,"Astrocyte","CHL1"
2.77463203385475e-225,1.16005793446348,0.315,0.041,7.04201610192335e-221,"Astrocyte","SOX11"
4.45275538438002e-224,1.04683172628408,0.453,0.144,1.13010931655565e-219,"Astrocyte","MAGED1"
1.04021559890744e-222,0.980520906645501,0.31,0.039,2.64006719002708e-218,"Astrocyte","CACNG4"
1.37017306011021e-222,1.84294208033945,0.826,0.616,3.47749922655971e-218,"Astrocyte","MTND2P28"
9.81226150433726e-211,1.06284151880999,0.667,0.516,2.4903519698008e-206,"Astrocyte","DBI"
5.18057852721758e-208,1.15187611886426,0.329,0.061,1.31483083020782e-203,"Astrocyte","RGMB"
7.82462914943605e-204,0.601826895294463,0.707,0.315,1.98589087812687e-199,"Astrocyte","GPM6B"
4.62877856788237e-203,1.88467713712603,0.527,0.242,1.17478400052854e-198,"Astrocyte","MAN1A2"
1.64239615119794e-202,1.15252081938887,0.435,0.144,4.16840143174038e-198,"Astrocyte","MTSS1L"
2.03988286731593e-202,0.983134923774073,0.307,0.049,5.17722271724783e-198,"Astrocyte","BMP7"
2.01530907123152e-199,0.978835846372623,0.335,0.066,5.11485442278561e-195,"Astrocyte","TMEM59L"
8.90797033333948e-198,1.11246689249936,0.632,0.455,2.26084287060156e-193,"Astrocyte","MARCKS"
2.83538911104112e-196,1.01847292873435,0.353,0.084,7.19621756382237e-192,"Astrocyte","PLPPR1"
1.24905334938676e-194,1.05693503678438,0.321,0.061,3.17009740074359e-190,"Astrocyte","RAB3IP"
8.11931878352016e-192,1.05056225452077,0.514,0.251,2.06068310725742e-187,"Astrocyte","TSPAN3"
1.45835377837422e-186,1.11326883840903,0.326,0.067,3.70130188951378e-182,"Astrocyte","CTNND2"
2.02854978333187e-186,1.01894364945963,0.313,0.062,5.14845935009629e-182,"Astrocyte","STXBP1"
2.20602822076299e-185,1.08406061596106,0.449,0.17,5.59889962429648e-181,"Astrocyte","SOX4"
1.43598132864818e-183,1.03009133358574,0.588,0.37,3.64452061210909e-179,"Astrocyte","SUB1"
1.05713087871757e-173,0.970641272902509,0.714,0.521,2.68299817018518e-169,"Astrocyte","TOMM7"
3.30412838747559e-172,1.33582875828586,0.639,0.381,8.38587784741304e-168,"Astrocyte","NDRG2"
3.05642690365943e-169,1.29820734322252,0.327,0.082,7.75721148148763e-165,"Astrocyte","CDR1-AS"
9.06504079759783e-169,0.918730966490501,0.423,0.157,2.30070735443033e-164,"Astrocyte","SDC3"
2.17816099345451e-167,0.717181099634606,0.754,0.52,5.52817260138754e-163,"Astrocyte","PEBP1"
1.77593538413526e-165,0.92498050417593,0.303,0.067,4.5073240049353e-161,"Astrocyte","LSAMP"
3.46787765736242e-164,0.951398375521456,0.386,0.128,8.80147349438583e-160,"Astrocyte","ATP6V0E2"
6.55278326340408e-164,0.886521767005562,0.449,0.178,1.66309639225195e-159,"Astrocyte","DNER"
2.48374285686893e-163,0.992092043584024,0.36,0.112,6.30373937073333e-159,"Astrocyte","PDLIM5"
8.17591362546139e-156,0.917603545906398,0.309,0.077,2.0750468781421e-151,"Astrocyte","CADM2"
1.83107955453769e-155,1.53603957124642,0.944,0.872,4.64727990941665e-151,"Astrocyte","MTND1P23"
9.23355965440661e-154,1.01255382140812,0.417,0.172,2.3434774402884e-149,"Astrocyte","EPN2"
4.37700278131517e-152,0.92419476776934,0.466,0.214,1.11088330589779e-147,"Astrocyte","TTC3"
9.96491808608055e-151,0.977105917279882,0.353,0.113,2.52909621024724e-146,"Astrocyte","ABI2"
7.01317548467848e-150,0.763297483133616,0.389,0.133,1.7799439380114e-145,"Astrocyte","SPARCL1"
7.43144323685186e-149,1.02574308339783,0.519,0.278,1.886100293513e-144,"Astrocyte","CALM3"
3.47261828106334e-148,0.873258792764942,0.362,0.127,8.81350519733877e-144,"Astrocyte","ABHD2"
6.01491418752197e-144,0.813988686136306,0.337,0.105,1.52658522079308e-139,"Astrocyte","ITGB8"
8.2959588516783e-144,0.822266453502277,0.484,0.228,2.10551435655595e-139,"Astrocyte","NCAM1"
1.52801486400039e-143,0.895401480961559,0.367,0.133,3.87810172483299e-139,"Astrocyte","LIMA1"
8.81055693313232e-141,0.948576359404602,0.398,0.161,2.23611934962898e-136,"Astrocyte","HIP1"
4.44737127928708e-140,0.924907196220645,0.445,0.213,1.12874283068306e-135,"Astrocyte","BASP1"
8.43916757012248e-140,0.822629545137947,0.332,0.105,2.14186072929709e-135,"Astrocyte","TCAF1"
1.99436446607238e-138,0.919100777632283,0.314,0.093,5.06169701489169e-134,"Astrocyte","ALDH7A1"
1.29559608045832e-137,0.75072061387434,0.339,0.113,3.28822285220321e-133,"Astrocyte","LAPTM4B"
4.84749922048688e-137,1.33385664277334,0.543,0.317,1.23029530215957e-132,"Astrocyte","MTCO2P12"
1.9233146639822e-136,0.80647559420255,0.553,0.288,4.88137261718682e-132,"Astrocyte","MAP1B"
2.82072820818636e-136,1.13644196585349,0.574,0.32,7.15900819237697e-132,"Astrocyte","CAMK2N1"
6.05023807691011e-136,0.937289598499585,0.413,0.178,1.53555042391979e-131,"Astrocyte","COX20"
2.12505339234221e-134,0.646576741585888,0.654,0.454,5.39338550976454e-130,"Astrocyte","MARCKSL1"
1.82486028732887e-129,0.732204522897431,0.62,0.449,4.63149540924067e-125,"Astrocyte","RTN3"
5.57544521395906e-129,0.900075169562203,0.46,0.237,1.41504799530281e-124,"Astrocyte","LMO4"
4.10632524546235e-128,0.756033930371216,0.337,0.115,1.04218534729834e-123,"Astrocyte","POU3F3"
5.09712774732641e-126,0.517095875576644,0.88,0.83,1.29365102227144e-121,"Astrocyte","CALM1"
6.33032705765131e-122,0.793127380897156,0.314,0.107,1.6066370072319e-117,"Astrocyte","TRAF4"
8.07121721546778e-122,0.859860407909066,0.518,0.304,2.04847492928572e-117,"Astrocyte","FAM127A"
2.42817662728362e-121,1.0040093167542,0.351,0.138,6.16271228004584e-117,"Astrocyte","RHOBTB3"
5.70872431853967e-121,0.99941471653952,0.86,0.738,1.44887423204537e-116,"Astrocyte","MTRNR2L12"
1.40989255140754e-120,0.814645375120797,0.499,0.287,3.57830729547233e-116,"Astrocyte","ATP5A1"
6.28295217098635e-120,1.18971609672599,0.423,0.204,1.59461326099634e-115,"Astrocyte","MTCO3P12"
2.353806593168e-119,0.723301004136986,0.313,0.107,5.9739611334604e-115,"Astrocyte","TRIM24"
2.93932620541334e-119,0.776608561214963,0.339,0.126,7.46000990933907e-115,"Astrocyte","NTM"
1.68476542025397e-115,1.46977193112023,0.517,0.317,4.27593463660458e-111,"Astrocyte","MTURN"
3.29699898430021e-115,0.672509427369339,0.397,0.169,8.36778342215393e-111,"Astrocyte","CADM4"
1.33547368099539e-114,0.792908132508181,0.568,0.388,3.3894322023663e-110,"Astrocyte","HINT1"
4.11308127360419e-112,0.964465240594639,0.325,0.124,1.04390002724074e-107,"Astrocyte","APC"
9.19972484663806e-112,0.871575812902269,0.332,0.127,2.33489016607674e-107,"Astrocyte","SCRN1"
9.01338858533614e-111,0.834407778796294,0.458,0.254,2.28759802295831e-106,"Astrocyte","CD82"
3.14168476837147e-108,0.806514841552779,0.422,0.218,7.9735959421268e-104,"Astrocyte","UBE2H"
1.30158571144585e-107,0.79370406835342,0.492,0.268,3.30342453564956e-103,"Astrocyte","CKB"
2.38246245650355e-106,0.727770970095368,0.322,0.124,6.04668971460601e-102,"Astrocyte","PTMS"
1.13936176804192e-105,0.851374918773005,0.435,0.23,2.89170016729038e-101,"Astrocyte","RNF187"
1.72411912236722e-105,0.720888028082117,0.446,0.222,4.37581433256799e-101,"Astrocyte","NFIX"
3.68411339766378e-105,0.727504098772317,0.552,0.378,9.35027980327067e-101,"Astrocyte","EID1"
7.50777393538815e-105,0.790066040352099,0.394,0.197,1.90547302480151e-100,"Astrocyte","TCF12"
1.27265916125731e-103,0.578268348194345,0.722,0.679,3.23000895127104e-99,"Astrocyte","TUBA1A"
8.78393748423037e-103,0.689827538909636,0.312,0.119,2.22936333349767e-98,"Astrocyte","SLC22A17"
1.33911726578439e-102,0.771631896544001,0.657,0.523,3.39867962056077e-98,"Astrocyte","COX7C"
9.40523809480286e-102,0.714787929879967,0.589,0.437,2.38704942846096e-97,"Astrocyte","SEPT2"
3.37436998748256e-100,0.749795393373471,0.559,0.4,8.56415102823075e-96,"Astrocyte","SKP1"
4.10310253651739e-100,1.21529794966598,0.562,0.385,1.04136742376811e-95,"Astrocyte","IDS"
1.30125525523923e-97,0.678352067069352,0.402,0.204,3.30258583779716e-93,"Astrocyte","PGRMC1"
1.89296586583999e-97,0.596252418089332,0.307,0.119,4.80434736750189e-93,"Astrocyte","RCN2"
6.06420221698011e-97,0.764536263162411,0.46,0.263,1.53909452266955e-92,"Astrocyte","PGAM1"
7.02621566298304e-97,0.741175791882401,0.338,0.143,1.7832535352651e-92,"Astrocyte","NLRP1"
4.32534145576199e-96,0.530267835461695,0.307,0.11,1.09777166147239e-91,"Astrocyte","SPOCK2"
9.21643109401103e-96,0.735211324011052,0.475,0.296,2.33913021166e-91,"Astrocyte","NDFIP1"
2.79848668818245e-95,0.639728368877173,0.312,0.122,7.10255921460706e-91,"Astrocyte","RBP1"
1.57050164186382e-93,0.809680846995242,0.412,0.221,3.98593316705037e-89,"Astrocyte","SLC1A3"
2.78699197695789e-92,0.689001952641688,0.312,0.128,7.07338563751912e-88,"Astrocyte","CBX5"
3.5969851339748e-92,0.735673545104967,0.45,0.264,9.12914827002805e-88,"Astrocyte","TBCA"
1.31928149260744e-91,0.654869651140656,0.668,0.569,3.34833642823767e-87,"Astrocyte","COX6C"
1.8702752537897e-90,0.711640557856314,0.326,0.144,4.74675859411826e-86,"Astrocyte","SOX8"
1.05941358019832e-88,0.554559861290466,0.648,0.468,2.68879166654334e-84,"Astrocyte","SEPT7"
1.59793342053822e-88,0.551051258992063,0.5,0.281,4.05555502132599e-84,"Astrocyte","OLIG1"
1.63566565125587e-87,0.691824047650063,0.363,0.178,4.15131942288741e-83,"Astrocyte","ZNF428"
9.82203325721596e-86,0.65910868573247,0.36,0.18,2.49283204068141e-81,"Astrocyte","HACD3"
1.02085806974447e-84,0.651970806343166,0.328,0.149,2.59093778101146e-80,"Astrocyte","NME1"
1.70557603303016e-83,0.559974922088059,0.42,0.224,4.32875197183054e-79,"Astrocyte","SYT11"
1.87614595423341e-83,1.14955836710375,0.54,0.381,4.7616584318444e-79,"Astrocyte","CLU"
2.1884710469227e-83,0.667730641020243,0.435,0.262,5.55433951708981e-79,"Astrocyte","SEC61G"
5.12219985187257e-83,0.738015640235306,0.528,0.363,1.30001432240526e-78,"Astrocyte","NDUFS5"
4.06465605480916e-82,0.716355381418016,0.377,0.191,1.03160970671057e-77,"Astrocyte","ZCCHC24"
1.15919167114347e-81,0.61251627847364,0.341,0.156,2.94202846136213e-77,"Astrocyte","PHYHIPL"
6.49357034229004e-78,0.638796631445309,0.571,0.456,1.64806815287321e-73,"Astrocyte","SET"
