"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
1.04573334141156e-33,0.708158515500363,0.861,0.773,2.42934312543319e-29,"Immortal Can","DST"
3.79335436304758e-22,1.48128166641702,0.864,0.85,8.81234152079583e-18,"Immortal Can","MTATP6P1"
6.83417507006979e-14,0.553447430073307,1,1,1.58764721052791e-09,"Immortal Can","MALAT1"
1.2715454247784e-11,0.541832777081157,0.774,0.819,2.95392717630271e-07,"Immortal Can","AKAP9"
2.02763689343897e-08,0.762604288349584,0.578,0.523,0.000471040326714807,"Immortal Can","NEAT1"
1.74505163560327e-07,0.557413923612333,0.667,0.683,0.00405392945466995,"Immortal Can","ATRX"
4.6866863572108e-07,0.515880169621371,0.75,0.798,0.0108876410764364,"Immortal Can","RBM25"
1.95369359186237e-06,0.591500395659954,0.381,0.303,0.0453862558325546,"Immortal Can","COL7A1"
0.000372267002639088,0.54407451381587,0.691,0.783,1,"Immortal Can","CD74"
0.000549606711501423,0.568726557899778,0.479,0.471,1,"Immortal Can","BAZ2B"
0.00729078772677577,0.528396494473124,0.614,0.67,1,"Immortal Can","SRRM2"
6.15704702266428e-112,2.20294679171791,0.822,0.202,1.43034359383514e-107,"Keratinocyte Can","LY6D"
1.37480270452456e-109,1.70763325365176,0.993,0.827,3.193804162881e-105,"Keratinocyte Can","FABP5"
1.12311895021701e-107,2.53060651227234,0.735,0.139,2.60911763324913e-103,"Keratinocyte Can","KRTDAP"
2.88342497287193e-105,1.20768376839258,0.571,0.05,6.69848455447877e-101,"Keratinocyte Can","C10orf99"
3.42485473145989e-105,2.41451423899045,0.855,0.282,7.95628002665447e-101,"Keratinocyte Can","KRT6C"
6.53279991659657e-105,1.7920749535388,0.971,0.753,1.51763474862455e-100,"Keratinocyte Can","KRT16"
2.04451737629316e-102,1.71617742357054,0.662,0.098,4.74961831686665e-98,"Keratinocyte Can","DMKN"
7.79812359613221e-102,1.20922953224417,0.982,0.927,1.81158209261747e-97,"Keratinocyte Can","KRT6A"
2.80783347977656e-101,1.19055591858945,0.72,0.134,6.52287795686893e-97,"Keratinocyte Can","CRABP2"
5.53812355686802e-100,1.62040205246448,1,0.956,1.28656148349601e-95,"Keratinocyte Can","S100A8"
2.23874238258325e-98,1.67632126100357,0.975,0.764,5.20082242897915e-94,"Keratinocyte Can","KRT6B"
6.56060219577197e-92,1.23347400861635,0.789,0.222,1.52409349609979e-87,"Keratinocyte Can","FABP5P7"
7.46102210987517e-91,0.930464308889275,0.604,0.082,1.7332700463451e-86,"Keratinocyte Can","RHOV"
1.16555366473875e-80,1.1991309035653,1,0.96,2.70769771855458e-76,"Keratinocyte Can","S100A9"
3.01547399665524e-79,0.978889091649684,0.993,0.83,7.00524764162978e-75,"Keratinocyte Can","PERP"
3.850953996188e-74,1.25148596994079,0.8,0.308,8.94615122854435e-70,"Keratinocyte Can","DSG1"
1.16488653978582e-68,1.36710498091743,0.596,0.125,2.70614792057643e-64,"Keratinocyte Can","SLPI"
1.89470458066109e-68,1.16558179059055,0.895,0.503,4.40158821133378e-64,"Keratinocyte Can","DSC2"
2.98949258869425e-68,1.12726663659421,0.735,0.239,6.94489023279562e-64,"Keratinocyte Can","LYPD3"
1.87718494824376e-67,0.888649442780721,0.993,0.938,4.36088835326508e-63,"Keratinocyte Can","DSP"
7.87121807199549e-65,0.982152685567709,0.876,0.444,1.82856267030527e-60,"Keratinocyte Can","GLTP"
3.13531610147986e-64,0.923183631574037,0.92,0.643,7.28365283534787e-60,"Keratinocyte Can","PKP1"
7.89834721181718e-57,0.839338756326038,0.644,0.185,1.83486504077725e-52,"Keratinocyte Can","THBD"
7.4974383386198e-56,0.987176046195282,0.913,0.634,1.74172990044477e-51,"Keratinocyte Can","LGALS7"
2.46117606308743e-55,0.695241900385747,0.476,0.09,5.7175581121584e-51,"Keratinocyte Can","ZNF750"
8.80325851595772e-55,1.18426591625284,0.964,0.778,2.04508498584214e-50,"Keratinocyte Can","CSTA"
8.15212895848561e-51,0.724256019448878,0.473,0.094,1.89382107834579e-46,"Keratinocyte Can","SULT2B1"
1.73493703415551e-50,1.64260467534635,0.851,0.595,4.03043222404666e-46,"Keratinocyte Can","SPRR1B"
4.01744366213684e-49,0.597885089027605,0.993,0.899,9.33292337151009e-45,"Keratinocyte Can","S100A11"
7.58107002348869e-49,0.820580153566893,0.342,0.043,1.76115837715666e-44,"Keratinocyte Can","IVL"
1.22351517371173e-48,1.98409626942377,0.749,0.363,2.84234810004971e-44,"Keratinocyte Can","S100A7"
1.5152105219728e-48,0.869936895298166,0.545,0.155,3.51998556359501e-44,"Keratinocyte Can","LGALSL"
3.32421817619341e-47,1.26748176476372,0.807,0.484,7.72249124511491e-43,"Keratinocyte Can","CSTB"
7.45507615787962e-47,0.590418614486639,0.316,0.035,1.73188874223702e-42,"Keratinocyte Can","SCEL"
1.54672613861396e-46,0.803733095896848,0.531,0.154,3.59319949261409e-42,"Keratinocyte Can","TUBB2A"
3.56721657159981e-46,0.635939853860093,0.527,0.139,8.28700081748351e-42,"Keratinocyte Can","NOTCH3"
2.48286500061606e-45,0.714027301543301,0.895,0.615,5.76794368293116e-41,"Keratinocyte Can","JUP"
7.16905968011288e-45,0.515624690868373,0.305,0.035,1.66544425428702e-40,"Keratinocyte Can","IL36RN"
2.1754226166737e-44,0.658513079016316,0.945,0.74,5.05372428079466e-40,"Keratinocyte Can","DSG3"
2.50154634514348e-44,0.968097102470735,0.444,0.096,5.81134231440283e-40,"Keratinocyte Can","SBSN"
3.80758539334875e-43,0.568743847578217,0.993,0.965,8.84540162728847e-39,"Keratinocyte Can","SFN"
1.61832733126386e-42,0.511257288929108,0.385,0.07,3.75953622325908e-38,"Keratinocyte Can","NECTIN4"
2.84201033493816e-42,0.689053674355746,0.898,0.605,6.60227420909484e-38,"Keratinocyte Can","S100A14"
1.84289561203748e-41,0.639782447632752,0.531,0.165,4.28123079632428e-37,"Keratinocyte Can","RAB25"
3.07887301272019e-41,0.731832465500204,0.822,0.497,7.15252989585027e-37,"Keratinocyte Can","LAD1"
1.54300167532479e-40,0.697126962143236,0.589,0.195,3.58454719194702e-36,"Keratinocyte Can","CD24"
4.92678977430162e-40,0.733212902987164,0.876,0.589,1.14454253246801e-35,"Keratinocyte Can","SERPINB1"
7.14854955700912e-40,0.707149038280285,0.855,0.617,1.66067954758879e-35,"Keratinocyte Can","S100A16"
2.22709234918988e-39,0.71749261853926,0.564,0.196,5.17375823640301e-35,"Keratinocyte Can","AKR1B10"
2.63984721404725e-39,0.502940602306635,0.422,0.096,6.13262906295316e-35,"Keratinocyte Can","HES2"
5.62226523663935e-39,0.73292634507357,0.771,0.394,1.30610843712369e-34,"Keratinocyte Can","TACSTD2"
2.06895664400535e-38,0.692273351992916,0.971,0.815,4.80639317968882e-34,"Keratinocyte Can","IFI6"
3.07445626193735e-38,0.662249191667153,0.724,0.331,7.14226934210666e-34,"Keratinocyte Can","AQP3"
3.60176948371895e-38,0.647882904064242,0.938,0.74,8.36727068762749e-34,"Keratinocyte Can","DYNLL1"
4.57791057730429e-38,0.683691102444171,0.822,0.495,1.06349440621356e-33,"Keratinocyte Can","CTSC"
1.64382920496096e-37,1.34318686700001,0.527,0.176,3.81877962604481e-33,"Keratinocyte Can","PI3"
1.94306169563795e-37,0.908068948321635,0.56,0.2,4.51392662513653e-33,"Keratinocyte Can","SPRR2A"
3.48044857742844e-36,0.54206172182349,0.524,0.171,8.085430090224e-32,"Keratinocyte Can","MAL2"
3.64268555921777e-36,0.706932832621229,0.862,0.569,8.4623228226188e-32,"Keratinocyte Can","FXYD3"
2.07956296143849e-35,0.756567721156994,0.615,0.259,4.83103271571775e-31,"Keratinocyte Can","MSMO1"
4.00666427478243e-33,0.625169638576132,0.924,0.738,9.30788177674706e-29,"Keratinocyte Can","DBI"
3.6810594655919e-32,0.545261700690119,0.615,0.258,8.55146924451654e-28,"Keratinocyte Can","MPZL2"
1.67308255665446e-31,0.8290565142018,0.967,0.923,3.88673808736396e-27,"Keratinocyte Can","KRT17"
1.72445499480098e-30,0.612633719160349,0.476,0.16,4.00608139842217e-26,"Keratinocyte Can","GBP6"
3.51027365873561e-30,0.551464759356276,0.611,0.255,8.1547167366087e-26,"Keratinocyte Can","IL1RN"
1.73707955621032e-29,0.559510303966097,0.836,0.559,4.03540951703219e-25,"Keratinocyte Can","TRIM29"
3.82232014802917e-28,0.529213701058524,0.778,0.498,8.87963193588657e-24,"Keratinocyte Can","RAB10"
1.00845159922767e-27,0.585000957648928,0.662,0.332,2.3427339101658e-23,"Keratinocyte Can","PDZK1IP1"
1.80774419134321e-26,0.633139024606404,0.949,0.781,4.1995705309094e-22,"Keratinocyte Can","TXN"
2.9728063561329e-26,0.536232753116012,0.92,0.741,6.90612644593235e-22,"Keratinocyte Can","DSC3"
3.9245366506829e-26,0.54642412090873,0.698,0.368,9.11709109320145e-22,"Keratinocyte Can","VSNL1"
1.20438154670862e-24,0.623727610620193,0.473,0.199,2.79789877115881e-20,"Keratinocyte Can","HMGCS1"
