"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.86849048569202,0.985,0.669,0,"Cancer cell","S100A2"
0,2.86294592062557,0.957,0.336,0,"Cancer cell","KRT5"
0,2.81884763798325,0.985,0.711,0,"Cancer cell","KRT14"
0,2.65588559126848,0.856,0.236,0,"Cancer cell","CXCL14"
0,2.6260370101212,0.938,0.332,0,"Cancer cell","KRT6A"
0,2.51998020306734,0.971,0.374,0,"Cancer cell","SFN"
0,2.5081317039837,0.932,0.436,0,"Cancer cell","KRT17"
0,2.40621415131517,0.949,0.329,0,"Cancer cell","DSP"
0,2.32787853744987,0.815,0.123,0,"Cancer cell","COL17A1"
0,2.28298468618896,0.806,0.234,0,"Cancer cell","KRT6B"
0,2.25068919918174,0.81,0.231,0,"Cancer cell","DST"
0,2.18278258384901,0.968,0.727,0,"Cancer cell","S100A9"
0,2.12739789665938,0.863,0.197,0,"Cancer cell","PERP"
0,1.91023574232908,0.815,0.262,0,"Cancer cell","CSTA"
0,1.90179009266174,0.817,0.105,0,"Cancer cell","PTPRZ1"
0,1.84239687365455,0.781,0.081,0,"Cancer cell","DSG3"
0,1.80274816686147,0.689,0.064,0,"Cancer cell","LGALS7"
0,1.80106177773227,0.716,0.06,0,"Cancer cell","FGFBP1"
0,1.79962464136477,0.836,0.216,0,"Cancer cell","ITGA6"
0,1.76167004675916,0.95,0.497,0,"Cancer cell","IFI27"
0,1.71607803581793,0.86,0.194,0,"Cancer cell","FSCN1"
0,1.69443132736623,0.777,0.068,0,"Cancer cell","DSC3"
0,1.68730718904272,0.777,0.064,0,"Cancer cell","CLCA2"
0,1.62203067963612,0.698,0.056,0,"Cancer cell","PKP1"
0,1.60798706407505,0.687,0.041,0,"Cancer cell","MIR205HG"
0,1.59629741332746,0.702,0.06,0,"Cancer cell","AHNAK2"
0,1.58687071494095,0.716,0.088,0,"Cancer cell","GJB2"
0,1.53976917226788,0.723,0.091,0,"Cancer cell","SDC1"
0,1.5173889816543,0.913,0.61,0,"Cancer cell","GSTP1"
0,1.50957401492381,0.663,0.047,0,"Cancer cell","S100A14"
0,1.44902822081787,0.974,0.814,0,"Cancer cell","KTN1"
0,1.4394800995696,0.811,0.203,0,"Cancer cell","DAAM1"
0,1.41479768047146,0.628,0.05,0,"Cancer cell","FXYD3"
0,1.3991407849088,0.733,0.103,0,"Cancer cell","MYO1B"
0,1.38199528716064,0.648,0.042,0,"Cancer cell","KLF5"
0,1.35038458606238,0.671,0.08,0,"Cancer cell","JUP"
0,1.29845199644923,0.615,0.04,0,"Cancer cell","TRIM29"
0,1.17612814139647,0.609,0.032,0,"Cancer cell","PKP3"
3.58028339909326e-307,1.22078372903446,0.569,0.03,8.31735636443355e-303,"Cancer cell","CA12"
6.05601521792327e-306,2.32724308538045,0.965,0.75,1.40687289527576e-301,"Cancer cell","S100A8"
1.09168805775288e-292,1.28475647715552,0.572,0.039,2.53610052696571e-288,"Cancer cell","CALML3"
2.42848575964493e-290,1.35528569106088,0.599,0.057,5.64161526823113e-286,"Cancer cell","ITGB4"
1.11040739866187e-283,1.06230984623502,0.524,0.022,2.57958742783138e-279,"Cancer cell","SERPINB5"
1.52939007584102e-276,1.27185021716451,0.852,0.356,3.55292608518628e-272,"Cancer cell","LIMA1"
1.05640162115848e-269,1.21671049998393,0.588,0.063,2.45412660611328e-265,"Cancer cell","SLC2A1"
1.36972965921308e-269,1.29466543159038,0.551,0.045,3.18201897131791e-265,"Cancer cell","PRSS3"
4.87214389897059e-268,1.11423421184598,0.538,0.038,1.13184774916986e-263,"Cancer cell","IGFBP2"
5.81185412189494e-268,1.09855237334447,0.642,0.093,1.35015183105741e-263,"Cancer cell","ENAH"
5.05498722359208e-266,1.0757562898817,0.571,0.055,1.17432408191268e-261,"Cancer cell","PRRG4"
3.51766080665052e-265,1.12041007636595,0.562,0.05,8.17187781992983e-261,"Cancer cell","LAD1"
8.7303911609539e-259,0.990740401466868,0.513,0.032,2.0281571706012e-254,"Cancer cell","C19orf33"
7.65083728045215e-257,0.965157406328894,0.487,0.023,1.77736600862184e-252,"Cancer cell","PTPRF"
1.15841338645995e-256,1.03256588012515,0.481,0.019,2.69111013808512e-252,"Cancer cell","TENM2"
1.74592134919409e-255,1.06026776512052,0.625,0.097,4.05594988631279e-251,"Cancer cell","MAP3K20"
8.63049827791439e-254,1.30480223237441,0.893,0.401,2.00495105494229e-249,"Cancer cell","SYNE2"
2.79486136050306e-253,1.1744158679211,0.571,0.066,6.49274242658465e-249,"Cancer cell","IGFBP6"
4.66947699478691e-250,1.14920766053209,0.665,0.128,1.08476620065895e-245,"Cancer cell","S100A16"
7.99756695402159e-242,2.37021849771774,0.796,0.328,1.85791477908876e-237,"Cancer cell","KRT16"
1.6002233011876e-241,1.07204562414057,0.463,0.021,3.71747875098892e-237,"Cancer cell","FAM83A"
8.75726699554515e-240,1.2574300015647,0.497,0.038,2.03440069573509e-235,"Cancer cell","FERMT1"
1.42725939893334e-238,1.16729185946848,0.657,0.139,3.31566630966204e-234,"Cancer cell","FAM213A"
2.54437050962864e-235,0.954768097491551,0.467,0.026,5.91082713091829e-231,"Cancer cell","PCDH7"
1.98554805026311e-233,0.905128805746043,0.5,0.042,4.61262667556624e-229,"Cancer cell","IMPA2"
1.20553746894535e-231,1.0743310129144,0.481,0.036,2.80058409410694e-227,"Cancer cell","ITGA3"
1.21677564631513e-231,1.11109859377748,0.491,0.039,2.82669150395468e-227,"Cancer cell","DAPL1"
2.91429689880501e-231,0.911969432183549,0.523,0.054,6.77020312561393e-227,"Cancer cell","FBLIM1"
2.47723834122561e-229,0.876903615242806,0.46,0.027,5.75487239050123e-225,"Cancer cell","EGFR"
5.16386400115284e-229,0.970862221239622,0.504,0.045,1.19961724610782e-224,"Cancer cell","PTPN13"
1.30586107630554e-224,0.999272404126665,0.5,0.05,3.03364586636539e-220,"Cancer cell","LTBP1"
8.76291221513861e-223,0.867230403752562,0.455,0.03,2.03571213669885e-218,"Cancer cell","NECTIN1"
4.47958252254366e-222,0.822764322209755,0.431,0.019,1.04065181581212e-217,"Cancer cell","TP63"
9.43323125737859e-220,0.977800262664349,0.633,0.126,2.19143395340162e-215,"Cancer cell","LGALS3BP"
4.07211994519604e-219,1.0661533433696,0.509,0.055,9.45994184468491e-215,"Cancer cell","RND3"
1.17778041477146e-218,1.29932878144787,0.581,0.102,2.73610168155557e-214,"Cancer cell","DSC2"
4.02001180810445e-218,0.952296436384339,0.546,0.076,9.33888943140744e-214,"Cancer cell","SLC16A1"
4.2268256338597e-216,0.942019096789307,0.585,0.098,9.81933863001946e-212,"Cancer cell","FLNB"
5.79031665123386e-216,0.961296738124754,0.621,0.121,1.34514846124814e-211,"Cancer cell","CKAP4"
1.29125397554648e-214,0.844436030275159,0.475,0.043,2.99971211059203e-210,"Cancer cell","SERINC2"
6.27699287067368e-214,0.855107097430982,0.434,0.026,1.4582082137862e-209,"Cancer cell","VSNL1"
6.54456872605746e-214,0.988626487064022,0.508,0.059,1.52036876075041e-209,"Cancer cell","CDCP1"
3.66619304675807e-213,0.809398537154037,0.449,0.032,8.51693306692367e-209,"Cancer cell","TMEM54"
4.0945891300804e-213,0.807154642529724,0.46,0.036,9.51214000808979e-209,"Cancer cell","EFNB1"
1.74611049226572e-210,0.857397733751574,0.432,0.027,4.0563892845825e-206,"Cancer cell","GPC1"
3.29010710103311e-210,1.02631683085492,0.86,0.573,7.64324780641002e-206,"Cancer cell","LDHA"
9.27995253564179e-210,0.828912641655246,0.421,0.022,2.15582577355494e-205,"Cancer cell","TFAP2A"
7.47308642108495e-208,0.931934806254915,0.655,0.154,1.73607270648224e-203,"Cancer cell","MAPK6"
6.04879711945715e-204,1.00393066487918,0.771,0.282,1.40519605882109e-199,"Cancer cell","ACTN1"
3.33999447240169e-203,1.09354517056634,0.403,0.02,7.75914115883636e-199,"Cancer cell","NEFL"
1.4411328400674e-201,0.773592916152081,0.438,0.033,3.34789570076057e-197,"Cancer cell","GALNT3"
2.06434620887191e-201,0.860066961005263,0.411,0.023,4.79568267783033e-197,"Cancer cell","GJB6"
2.09111191268762e-201,0.833337063398022,0.392,0.016,4.85786208436461e-197,"Cancer cell","TNS4"
7.28768922432619e-200,0.79985866932646,0.379,0.012,1.69300308370322e-195,"Cancer cell","PITX1"
3.73520482617331e-199,1.03047621335163,0.745,0.269,8.67725433168323e-195,"Cancer cell","ATP1A1"
2.55321221576273e-198,0.938546183979249,0.601,0.123,5.93136729843841e-194,"Cancer cell","SEPT10"
3.38597599977995e-198,1.15876343358418,0.42,0.03,7.86596084508881e-194,"Cancer cell","SPINK5"
6.28681943828325e-198,1.20083480697053,0.399,0.021,1.46049102370758e-193,"Cancer cell","LAMA3"
1.00355870527491e-197,1.15396015051154,0.469,0.053,2.33136722822414e-193,"Cancer cell","TACSTD2"
1.26435037749662e-196,0.839146165129343,0.398,0.021,2.9372123619624e-192,"Cancer cell","PDZK1IP1"
4.54747056926573e-194,0.942875699616244,0.474,0.059,1.05642288794612e-189,"Cancer cell","CA2"
2.59730116269311e-193,0.863208994090742,0.575,0.107,6.03379033105236e-189,"Cancer cell","CAV2"
3.3273071542033e-193,0.953891309627305,0.499,0.069,7.72966724992969e-189,"Cancer cell","SERPINE2"
4.119155008812e-189,0.732785306199861,0.39,0.022,9.56920900097116e-185,"Cancer cell","STON2"
5.51915411869683e-188,0.688158373141746,0.387,0.021,1.28215469331446e-183,"Cancer cell","SOWAHC"
6.27736602895958e-188,0.811654648753427,0.887,0.524,1.4582949021876e-183,"Cancer cell","DSTN"
3.92859724231657e-186,1.54605218242034,0.441,0.051,9.12652425362563e-182,"Cancer cell","LAMB3"
5.39568079181242e-186,1.16900659268002,0.753,0.32,1.25347060474594e-181,"Cancer cell","MT1E"
7.94811741627342e-183,0.735265712485193,0.362,0.015,1.84642715697448e-178,"Cancer cell","CDH3"
2.07773703743113e-182,1.52088022015788,0.421,0.043,4.82679091165627e-178,"Cancer cell","LAMC2"
1.52613747113872e-181,0.776428865044918,0.393,0.028,3.54536995920237e-177,"Cancer cell","C6orf132"
1.74205819447617e-181,0.701976507078805,0.361,0.016,4.04697539158758e-177,"Cancer cell","RHOD"
1.18249672846894e-180,0.607624423175219,0.343,0.009,2.7470581499062e-176,"Cancer cell","SOX15"
1.91766620770417e-178,0.687640669708666,0.378,0.024,4.45493036711756e-174,"Cancer cell","HSPA4L"
2.80687701857639e-178,0.780064534978511,0.695,0.193,6.52065600185481e-174,"Cancer cell","CAV1"
8.60209015532437e-178,0.82331359736184,0.375,0.023,1.99835156398341e-173,"Cancer cell","NCKAP5"
9.13943752289904e-177,0.66882695742351,0.328,0.007,2.12318273094468e-172,"Cancer cell","GJB3"
1.14925390170356e-175,0.885885513169024,0.875,0.64,2.66983173904754e-171,"Cancer cell","PKM"
3.28164867310741e-175,0.870232159133778,0.409,0.04,7.62359803249583e-171,"Cancer cell","AQP3"
1.33850975111889e-171,1.02338581518713,0.724,0.297,3.10949200282428e-167,"Cancer cell","TUBA1C"
2.60551127316974e-171,0.579982666314535,0.557,0.104,6.05286323870062e-167,"Cancer cell","C1R"
3.81709847838956e-171,0.590918331979196,0.321,0.007,8.86750147514678e-167,"Cancer cell","GJB5"
5.49548555605617e-171,0.731684073425633,0.385,0.031,1.27665624952741e-166,"Cancer cell","DSG2"
1.14237549289556e-170,0.802545770573107,0.385,0.031,2.65385250754567e-166,"Cancer cell","PATJ"
1.54033555434794e-170,1.11625613725268,0.407,0.043,3.57835352630571e-166,"Cancer cell","DSG1"
5.69111521266276e-170,0.624858847215015,0.327,0.01,1.32210297505369e-165,"Cancer cell","TNNT1"
6.48749306557947e-170,0.709610170418164,0.447,0.06,1.50710951406477e-165,"Cancer cell","NCKAP1"
7.43859866204727e-170,0.813735499469734,0.425,0.053,1.7280608551802e-165,"Cancer cell","PLEK2"
2.76090478482875e-169,0.742708806993011,0.523,0.097,6.41385790563567e-165,"Cancer cell","ADIRF"
4.73531561706977e-169,0.700594460129304,0.329,0.012,1.10006117100148e-164,"Cancer cell","IRF6"
6.38596467703185e-167,0.781125678237731,0.46,0.069,1.48352345412127e-162,"Cancer cell","TMTC3"
1.62150841614925e-166,0.797315744974831,0.375,0.031,3.76692620155632e-162,"Cancer cell","MYH10"
5.86706344865687e-166,0.836328995032101,0.888,0.57,1.36297750975748e-161,"Cancer cell","HSPB1"
3.89051264882607e-165,0.862598496346364,0.796,0.401,9.03804993448785e-161,"Cancer cell","EEF2"
1.38382819151804e-164,0.861132655915334,0.918,0.804,3.21477127171556e-160,"Cancer cell","S100A11"
2.12698704953635e-164,1.86350851179833,0.86,0.563,4.94120361477789e-160,"Cancer cell","FABP5"
7.1176235092763e-164,0.688210170361449,0.368,0.03,1.65349511743998e-159,"Cancer cell","PTGFRN"
1.16725658939704e-163,0.544931982027057,0.32,0.011,2.71165378282826e-159,"Cancer cell","MAGEA4"
3.70597250697848e-163,0.954139565451761,0.926,0.813,8.60934473096171e-159,"Cancer cell","NCL"
9.15736776154536e-163,0.632269657755717,0.335,0.017,2.1273481046846e-158,"Cancer cell","PPP1R13L"
9.34325015082646e-163,0.758666198707856,0.4,0.044,2.17053044253849e-158,"Cancer cell","SLC7A1"
9.03809104320997e-162,0.707040903453238,0.367,0.03,2.09963893024811e-157,"Cancer cell","GPSM2"
1.33271798374474e-161,0.789330609645499,0.33,0.016,3.09603714803739e-157,"Cancer cell","SPINK6"
2.09741399074617e-161,0.624352417549374,0.341,0.021,4.87250244190242e-157,"Cancer cell","PARD3"
5.50994307044396e-161,0.770917164036259,0.511,0.101,1.28001487469484e-156,"Cancer cell","EMP2"
1.14126530683322e-160,0.880343616972141,0.643,0.189,2.65127343430425e-156,"Cancer cell","MAP4K4"
1.58144358017091e-160,0.674713812225896,0.409,0.048,3.67385158109504e-156,"Cancer cell","GNPNAT1"
1.78196459536825e-160,0.95314457394026,0.338,0.02,4.13968195149998e-156,"Cancer cell","LYPD3"
4.62696287819395e-160,0.735675558441011,0.333,0.019,1.07488974623324e-155,"Cancer cell","ALOX15B"
6.70608692278856e-160,0.670786907342727,0.346,0.023,1.55789105303301e-155,"Cancer cell","LTB4R"
8.64792971748859e-160,0.909232814688723,0.572,0.151,2.00900055266977e-155,"Cancer cell","PLEC"
6.47766017101487e-159,0.66626829154638,0.516,0.101,1.50482523432846e-154,"Cancer cell","PALLD"
1.65113792743783e-158,0.895167935411202,0.602,0.169,3.83575851923083e-154,"Cancer cell","SMC6"
4.295672821627e-158,0.864964855964487,0.508,0.105,9.97927753192168e-154,"Cancer cell","SLC7A5"
2.5619834944751e-157,0.684284839966967,0.346,0.025,5.9517438560151e-153,"Cancer cell","BAIAP2L1"
5.61448574669046e-157,0.716196680962525,0.51,0.1,1.30430118381366e-152,"Cancer cell","RBFOX2"
5.9911765150749e-157,0.598828539418871,0.317,0.014,1.39181021621705e-152,"Cancer cell","DDR1"
2.61913083656574e-155,0.725971776434645,0.879,0.631,6.08450284642587e-151,"Cancer cell","ENO1"
3.00654475757533e-155,0.999180853636367,0.343,0.025,6.98450412632326e-151,"Cancer cell","KRT16P6"
8.83142140926386e-155,0.769753790160101,0.935,0.816,2.05162750758609e-150,"Cancer cell","S100A10"
1.53999679251802e-154,0.587155286994741,0.316,0.015,3.57756654869862e-150,"Cancer cell","KCTD1"
1.06190184088679e-153,0.771447328584687,0.504,0.104,2.4669041665641e-149,"Cancer cell","FAM129B"
3.54494809398153e-152,0.821866437049154,0.554,0.142,8.2352689171285e-148,"Cancer cell","CLSTN1"
6.03990060157723e-152,0.565268753190517,0.307,0.013,1.40312930875241e-147,"Cancer cell","FAM83H"
6.11163940605119e-151,0.71828996416843,0.377,0.042,1.41979495041975e-146,"Cancer cell","DHCR24"
9.30415676552609e-151,0.760974088638929,0.926,0.681,2.16144865819936e-146,"Cancer cell","EIF5B"
9.79116246580255e-151,0.869836603714388,0.714,0.268,2.27458495243059e-146,"Cancer cell","ROCK2"
1.96408653437425e-150,0.759160575043199,0.764,0.348,4.56276942800481e-146,"Cancer cell","HSPH1"
7.38338466514683e-150,1.38705134002034,0.586,0.184,1.71523409156026e-145,"Cancer cell","NDRG1"
5.94902137841029e-149,0.692901025863595,0.316,0.018,1.38201715641849e-144,"Cancer cell","DENND2C"
1.00118920467518e-148,0.681849684926588,0.496,0.103,2.32586264138091e-144,"Cancer cell","CAPN1"
1.21125265254712e-148,0.625129143243113,0.439,0.071,2.81386103713222e-144,"Cancer cell","GNG12"
1.82308504342294e-148,0.650028061996092,0.423,0.061,4.23520886437584e-144,"Cancer cell","TPM2"
2.01695735384071e-148,0.722617602780922,0.546,0.133,4.68559362870736e-144,"Cancer cell","BICD2"
4.03795739918147e-148,0.871267747418083,0.342,0.03,9.38057883403848e-144,"Cancer cell","PTHLH"
6.05747482675923e-148,0.794899323926083,0.439,0.074,1.40721197700444e-143,"Cancer cell","MYO10"
1.339347553266e-147,0.600137299763721,0.352,0.033,3.11143830099224e-143,"Cancer cell","PAWR"
3.02001315517657e-147,0.722464392798825,0.332,0.025,7.01579256079068e-143,"Cancer cell","EHF"
4.01842117273035e-146,0.676538653666338,0.404,0.059,9.33519422636988e-142,"Cancer cell","NQO1"
4.33929204398823e-146,0.640627520131051,0.441,0.075,1.0080609347389e-141,"Cancer cell","PLS3"
8.18674883657856e-146,0.925107473421444,0.323,0.024,1.90186362222557e-141,"Cancer cell","CASP14"
2.02585171866573e-145,0.610994390585139,0.357,0.037,4.70625612763235e-141,"Cancer cell","PYGL"
1.09102156376269e-143,0.67571246062263,0.447,0.081,2.5345521947771e-139,"Cancer cell","RXRA"
3.73807707177303e-143,0.73768799310913,0.441,0.079,8.68392684543593e-139,"Cancer cell","NAV1"
5.04271587090962e-143,0.567007299023303,0.305,0.017,1.17147332397101e-138,"Cancer cell","MDFI"
1.64181111141836e-141,0.791012708832345,0.688,0.267,3.81409139293599e-137,"Cancer cell","PTBP3"
1.74843641468043e-141,0.802141794945165,0.35,0.038,4.06179263494412e-137,"Cancer cell","NRG1"
3.87864357469388e-141,0.761512551284734,0.693,0.277,9.01047688837136e-137,"Cancer cell","HDGF"
4.15024319715233e-141,0.626092637002584,0.32,0.024,9.64142997130458e-137,"Cancer cell","KRT18"
2.34316249084931e-140,0.754327536140087,0.815,0.545,5.44340078249204e-136,"Cancer cell","TXN"
3.34232544217647e-140,0.97315294916564,0.621,0.211,7.76455623472015e-136,"Cancer cell","PRNP"
1.4983513285432e-139,0.653486321147994,0.415,0.07,3.48081997133871e-135,"Cancer cell","TRIP6"
1.11793234435744e-138,0.766688916700378,0.725,0.312,2.59706862917677e-134,"Cancer cell","VCP"
2.427821432278e-137,0.788202682180158,0.721,0.311,5.64007196932502e-133,"Cancer cell","HDLBP"
1.14437038339167e-136,0.720637789866026,0.508,0.125,2.65848683765718e-132,"Cancer cell","SLC39A6"
1.53127536337536e-136,0.728123494623781,0.336,0.034,3.5573057966573e-132,"Cancer cell","COL7A1"
1.75908847552255e-136,0.690013002457799,0.522,0.132,4.08653843748644e-132,"Cancer cell","EIF3B"
1.33345521759092e-135,0.897146600635599,0.695,0.303,3.09774981598547e-131,"Cancer cell","MT1X"
4.11729746690626e-135,0.566476390470007,0.356,0.044,9.56489374536992e-131,"Cancer cell","HSBP1L1"
7.14118105931516e-135,0.631278156595583,0.527,0.133,1.65896777188951e-130,"Cancer cell","C1orf21"
8.339468274974e-135,1.3652431463452,0.821,0.475,1.93734187495921e-130,"Cancer cell","ANXA1"
8.64733222936637e-134,0.70029048475806,0.377,0.056,2.0088617502041e-129,"Cancer cell","EHBP1"
3.11909223948742e-133,0.591293485554899,0.498,0.115,7.24596318155324e-129,"Cancer cell","IL18"
3.13020073781602e-133,0.741022294529826,0.618,0.21,7.2717693340204e-129,"Cancer cell","GPI"
6.87404935646752e-133,0.746302398328818,0.683,0.257,1.59691040600097e-128,"Cancer cell","TUBA4A"
5.46158799680484e-132,0.588264427956215,0.406,0.069,1.26878150753773e-127,"Cancer cell","LDLR"
1.49816188617978e-131,0.675347868181733,0.564,0.165,3.48037987778425e-127,"Cancer cell","SPINT2"
7.65720202412945e-131,0.576216687943111,0.463,0.101,1.77884460222551e-126,"Cancer cell","ARPC1A"
1.04077927982163e-130,0.723647399650273,0.429,0.086,2.41783434495363e-126,"Cancer cell","CDC42BPB"
5.33790163187137e-130,0.596449772402359,0.34,0.041,1.24004792810004e-125,"Cancer cell","ARNTL2"
3.56409568195701e-129,0.535993459069025,0.564,0.16,8.27975067875434e-125,"Cancer cell","AREG"
1.54417477615959e-128,0.60402159951839,0.383,0.06,3.58727242249634e-124,"Cancer cell","COBLL1"
2.3784827196912e-128,0.609407795079449,0.455,0.101,5.52545320611462e-124,"Cancer cell","MICALL1"
3.56474190416146e-128,0.707357861670356,0.681,0.267,8.28125191755749e-124,"Cancer cell","YBX3"
2.18636625992042e-126,0.643282701170491,0.874,0.713,5.07914745842114e-122,"Cancer cell","PPIA"
4.45669104368839e-126,0.571467487956172,0.38,0.062,1.03533389635925e-121,"Cancer cell","GIPC1"
6.55194117916866e-126,0.729697959111957,0.519,0.142,1.52208145533267e-121,"Cancer cell","DDX60"
2.11868432471781e-125,0.59530169719447,0.324,0.038,4.92191555475195e-121,"Cancer cell","ALDH7A1"
2.35808376101895e-125,0.537031641926297,0.556,0.149,5.47806438522311e-121,"Cancer cell","PDLIM1"
2.35075926030021e-124,2.08229874749888,0.646,0.289,5.46104883760343e-120,"Cancer cell","SPRR1B"
2.62190262019444e-124,0.813580245751597,0.606,0.218,6.09094197697369e-120,"Cancer cell","RIF1"
1.87424210384559e-123,0.593308301044799,0.447,0.099,4.3540518314437e-119,"Cancer cell","PCYOX1"
8.91297277095582e-123,0.617576476296349,0.511,0.139,2.07057270442075e-118,"Cancer cell","SNHG16"
2.05336707394825e-121,0.668744215337244,0.572,0.173,4.77017704948917e-117,"Cancer cell","TMEM154"
3.25655857889753e-121,0.565609016905436,0.301,0.031,7.56531123463684e-117,"Cancer cell","ST5"
8.50590481090566e-121,0.678371586522231,0.41,0.083,1.97600674662149e-116,"Cancer cell","FMNL2"
2.05972568762453e-120,0.666507657040086,0.526,0.155,4.78494874492053e-116,"Cancer cell","CUX1"
3.96545411895415e-120,0.610759709206717,0.31,0.035,9.21214646374238e-116,"Cancer cell","MFSD2A"
1.24302386699139e-119,0.812670795999111,0.693,0.306,2.8876687454077e-115,"Cancer cell","PUM3"
1.95619441482672e-119,0.553757848249251,0.329,0.045,4.54443524508395e-115,"Cancer cell","MPZL2"
2.04712881957395e-119,0.620073611168397,0.515,0.145,4.75568496075224e-115,"Cancer cell","ARHGAP5"
2.51922445596052e-119,0.678132578235754,0.845,0.519,5.85241033364188e-115,"Cancer cell","NFE2L2"
3.98301067847497e-119,0.535188397289137,0.301,0.031,9.2529321071652e-115,"Cancer cell","POU3F1"
4.51645026282436e-119,0.887426322279877,0.53,0.171,1.04921656055673e-114,"Cancer cell","GLTP"
4.81841057692197e-119,0.803183565985976,0.339,0.051,1.11936496112474e-114,"Cancer cell","ANLN"
7.57519470835252e-119,0.532822815730959,0.313,0.037,1.75979348269737e-114,"Cancer cell","CTDSPL"
1.1719518244372e-118,0.596537689978288,0.909,0.716,2.72256128335006e-114,"Cancer cell","CAST"
2.11463215410784e-118,0.593231428819779,0.511,0.136,4.91250195720791e-114,"Cancer cell","LAMB1"
2.17838325298997e-118,0.776898842031508,0.335,0.05,5.06060213502101e-114,"Cancer cell","FABP5P7"
1.37351409442582e-117,0.679154096349317,0.609,0.219,3.19081059276062e-113,"Cancer cell","EIF4G1"
2.35210842865681e-116,0.535253868504873,0.397,0.077,5.46418309061263e-112,"Cancer cell","KIF13A"
3.57062384264082e-116,0.681763676419217,0.656,0.276,8.2949162488389e-112,"Cancer cell","PSMB7"
1.81028109363706e-115,0.660090341686755,0.436,0.103,4.20546400862824e-111,"Cancer cell","CAMSAP2"
1.20820214971574e-114,0.536469923512619,0.356,0.06,2.80677441400464e-110,"Cancer cell","GOT2"
1.32784949037896e-114,0.61108980179242,0.876,0.594,3.08472715109937e-110,"Cancer cell","DYNC1I2"
2.0844798167893e-114,0.618017591346082,0.396,0.079,4.84245506238321e-110,"Cancer cell","GALNT6"
2.35110252842429e-114,0.510141690116265,0.335,0.05,5.46184628378246e-110,"Cancer cell","GNAI1"
7.33469546045286e-114,0.508349144887565,0.352,0.057,1.7039231024178e-109,"Cancer cell","GJA1"
1.96864772696018e-113,0.584850322233396,0.444,0.103,4.57336553450119e-109,"Cancer cell","ELL2"
5.09534318446046e-113,0.512618397289989,0.336,0.052,1.18369917518201e-108,"Cancer cell","CTTN"
2.29161949232829e-112,0.576629770574785,0.516,0.15,5.32366124262784e-108,"Cancer cell","GM2A"
2.38335834648965e-112,1.5935938663143,0.326,0.053,5.53677977473011e-108,"Cancer cell","LY6D"
3.43851902924611e-112,0.866479883371592,0.391,0.088,7.98802355684163e-108,"Cancer cell","SCD"
2.05248190588368e-111,0.62747576622042,0.447,0.114,4.76812071555838e-107,"Cancer cell","PAICS"
2.94058764146899e-111,0.631001639311123,0.591,0.209,6.83127914989662e-107,"Cancer cell","SRPK2"
9.27032993676178e-111,0.568094276144374,0.568,0.188,2.15359034760913e-106,"Cancer cell","MYOF"
2.4046095402033e-110,0.888959380971314,0.492,0.149,5.58614842284629e-106,"Cancer cell","APOL1"
1.24307788274219e-109,0.783730683239208,0.729,0.388,2.88779422939839e-105,"Cancer cell","TUBB4B"
3.14401408637022e-109,0.687504385321021,0.611,0.238,7.30385912404665e-105,"Cancer cell","PSMD1"
5.29432096964503e-109,0.551707352438492,0.332,0.053,1.22992370445824e-104,"Cancer cell","PHLDB2"
1.91956853853255e-108,0.564593470616312,0.46,0.122,4.45934967186496e-104,"Cancer cell","EI24"
6.75722894636353e-108,0.57381889203103,0.383,0.078,1.56977185652971e-103,"Cancer cell","CROT"
1.92477957441135e-107,0.576932538717204,0.31,0.045,4.471455429315e-103,"Cancer cell","MBOAT2"
1.93754601840196e-107,0.556615991313299,0.624,0.229,4.50111315534958e-103,"Cancer cell","TCEAL9"
4.71457159678032e-107,0.783258728611941,0.769,0.458,1.09524212764804e-102,"Cancer cell","HSPD1"
7.89242322754776e-107,0.691747054786537,0.699,0.326,1.83348883999162e-102,"Cancer cell","SAMD9"
1.51769619929474e-106,0.645634996527638,0.513,0.156,3.5257600405816e-102,"Cancer cell","CDK6"
1.59504383869714e-106,0.582164032987416,0.36,0.068,3.70544634167731e-102,"Cancer cell","SDC4"
4.4417064211024e-106,0.772549826572333,0.846,0.622,1.0318528186863e-101,"Cancer cell","IFI6"
6.79355096151792e-106,0.690851654214327,0.776,0.409,1.57820982387023e-101,"Cancer cell","GOLGA4"
2.20077821273321e-105,0.698704686949802,0.695,0.339,5.11262786600053e-101,"Cancer cell","P4HB"
2.23639671084829e-105,0.537992858879318,0.313,0.048,5.19537319897166e-101,"Cancer cell","TMEM237"
2.5160681767056e-105,0.547015526583914,0.376,0.078,5.84507798130477e-101,"Cancer cell","FAM126A"
1.15983865112162e-104,0.503760154773802,0.399,0.087,2.69442117042063e-100,"Cancer cell","EHD2"
4.28444807928457e-104,0.607728949035083,0.835,0.571,9.953201332986e-100,"Cancer cell","YWHAE"
4.4341172890851e-104,0.574295216435934,0.444,0.119,1.03008978742736e-99,"Cancer cell","SYPL1"
5.37488707950326e-104,0.561943061202587,0.431,0.108,1.2486400174394e-99,"Cancer cell","FER"
2.61145235214794e-103,0.615193327833015,0.427,0.11,6.06666495927488e-99,"Cancer cell","ERO1A"
2.50294301570051e-102,1.28817423997604,0.405,0.107,5.81458691977385e-98,"Cancer cell","MMP1"
