"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
4.37115955124713e-235,1.96269043341265,0.967,0.343,1.01546407535022e-230,"T cell","CD2"
3.34778217684616e-213,2.00220347508852,0.913,0.252,7.7772327750313e-209,"T cell","CD3D"
3.2756793541806e-199,1.91231967689645,0.887,0.219,7.60973070769696e-195,"T cell","CD3G"
2.54865705834178e-181,1.84119630767651,0.866,0.255,5.92078521223379e-177,"T cell","TRBC2"
1.12347109937004e-164,1.80312419376732,0.832,0.264,2.60993571094655e-160,"T cell","IL32"
2.39388328408425e-161,1.62569980877015,0.796,0.19,5.56123025725613e-157,"T cell","TRAC"
1.26985356633398e-141,1.62712365947233,0.724,0.15,2.94999681995046e-137,"T cell","CD7"
1.93012584979022e-120,1.58033741743038,0.625,0.116,4.48387536164766e-116,"T cell","TIGIT"
3.87475872595864e-108,1.43157622519567,0.608,0.119,9.00145199627452e-104,"T cell","CD96"
4.90604315580582e-104,1.78435917498833,0.611,0.144,1.13972288552525e-99,"T cell","LINC01871"
6.62946213453838e-103,1.87189504451353,0.823,0.518,1.54009034847461e-98,"T cell","CCL5"
7.86313341479713e-97,1.49823956615774,0.681,0.241,1.82668452359152e-92,"T cell","GZMB"
1.77608922812868e-95,1.95199259582279,0.618,0.175,4.12603288586574e-91,"T cell","GZMA"
4.87036678183803e-95,0.923021123732701,0.954,0.889,1.13143490708879e-90,"T cell","HMGB1"
6.05784170785438e-92,1.28766589336926,0.532,0.102,1.40729720715165e-87,"T cell","CD3E"
2.26634170987489e-88,0.666230098524831,0.974,0.935,5.26493842621035e-84,"T cell","GAPDH"
9.07816585147455e-87,0.807971083441527,0.943,0.753,2.10894870895605e-82,"T cell","S100A4"
2.89269416726905e-83,1.69219771014194,0.526,0.128,6.72001781998272e-79,"T cell","TRBC1"
3.7901265364366e-83,0.548090050390933,0.998,0.993,8.80484295679586e-79,"T cell","PTMA"
9.42395831643673e-79,1.37587820513822,0.482,0.094,2.18927975649142e-74,"T cell","TNFRSF18"
5.23134309571403e-78,1.84821504853044,0.577,0.193,1.21529331456533e-73,"T cell","GNLY"
8.52602971217893e-76,1.2807747969354,0.468,0.093,1.98068196243629e-71,"T cell","ITM2A"
2.80589982909085e-75,1.43768177532324,0.561,0.173,6.51838589296096e-71,"T cell","NKG7"
7.02175209311295e-75,1.09203913109126,0.54,0.143,1.63122322875107e-70,"T cell","ETS1"
8.99397562842727e-75,2.27689678293916,0.543,0.17,2.08939047823994e-70,"T cell","CXCL13"
2.94627059084682e-68,1.35222784168955,0.416,0.071,6.84448120959624e-64,"T cell","CTLA4"
1.36607531475371e-66,1.45718849684968,0.383,0.053,3.17352956370435e-62,"T cell","LAIR2"
7.90998138090662e-65,0.975842160987906,0.65,0.318,1.83756777459842e-60,"T cell","APOBEC3C"
1.35446526980256e-63,1.04166822770779,0.463,0.114,3.14655826827832e-59,"T cell","CLEC2D"
8.21025213054128e-60,0.957863750628054,0.53,0.188,1.90732367244605e-55,"T cell","PCED1B-AS1"
