"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
1.13526697760919e-46,1.20176017623768,0.906,0.723,2.63733871568391e-42,"Cytotoxic T cell","CCL5"
2.20651311349632e-21,0.528750032932052,0.908,0.896,5.1259506139633e-17,"Cytotoxic T cell","CD52"
1.34229267483279e-19,0.700112595236645,0.787,0.553,3.11828011290406e-15,"Cytotoxic T cell","GZMB"
3.17512298168121e-18,0.903408964611319,0.668,0.467,7.37612819874361e-14,"Cytotoxic T cell","GNLY"
6.40495976724586e-17,0.622790400284038,0.708,0.494,1.48793620352889e-12,"Cytotoxic T cell","LINC01871"
1.39569940891999e-14,0.500210997960719,0.706,0.512,3.24234929686203e-10,"Cytotoxic T cell","GZMA"
1.28228226864363e-13,0.694003122393934,0.628,0.481,2.97886993828601e-09,"Cytotoxic T cell","NKG7"
5.35554672197055e-13,0.587429976595493,0.625,0.469,1.24414705898098e-08,"Cytotoxic T cell","ALOX5AP"
4.31837185996108e-11,0.560641036116659,0.649,0.574,1.00320096678756e-06,"Cytotoxic T cell","RUNX3"
5.04658261831948e-10,0.519495287416989,0.525,0.383,1.1723716080618e-05,"Cytotoxic T cell","GIMAP7"
6.1569312437907e-10,0.724902068810355,0.623,0.46,1.43031669724502e-05,"Cytotoxic T cell","CCL4"
2.82836106593423e-09,0.844054143229539,0.526,0.376,6.57056559227182e-05,"Cytotoxic T cell","CCL4L2"
7.32434552866203e-09,0.60763962283617,0.375,0.238,0.000170151870976348,"Cytotoxic T cell","SNORD13"
5.22915515105851e-08,0.54111322684536,0.506,0.429,0.0012147850331424,"Cytotoxic T cell","SLFN5"
1.91202060751953e-07,0.780373038772285,0.466,0.336,0.00444181507332861,"Cytotoxic T cell","CCL3"
2.02158036893274e-07,0.6532031101735,0.604,0.469,0.00469633335506764,"Cytotoxic T cell","CXCL13"
2.39783673841338e-07,0.529116629833206,0.521,0.454,0.00557041452700812,"Cytotoxic T cell","TXNIP"
3.5236101750877e-07,0.507372013215434,0.451,0.367,0.00818569879774624,"Cytotoxic T cell","EVL"
3.1574148954472e-06,0.531069586349415,0.302,0.197,0.073349905436134,"Cytotoxic T cell","PRF1"
5.52189124034635e-06,0.552202361932068,0.342,0.249,0.128279055404486,"Cytotoxic T cell","GPR171"
8.64896558381127e-06,0.508141084216262,0.383,0.302,0.20092411947752,"Cytotoxic T cell","GIMAP4"
1.91495115442785e-05,0.546727996345775,0.447,0.385,0.444862302685135,"Cytotoxic T cell","AHI1"
2.03768724173395e-05,0.740232315605221,0.357,0.249,0.473375123127215,"Cytotoxic T cell","CCL3L1"
8.29556270793041e-05,0.652634930616671,0.368,0.29,1,"Cytotoxic T cell","IFNG"
9.98350446491242e-05,2.17371230489142,0.447,0.39,1,"Cytotoxic T cell","TAOK1"
0.000249538213152264,0.516654967466417,0.394,0.363,1,"Cytotoxic T cell","NR3C1"
0.00690738032689858,0.555334878318544,0.636,0.671,1,"Cytotoxic T cell","MTATP6P1"
1.45763289743664e-124,1.98191640110701,0.944,0.211,3.38622698403506e-120,"Progenitor T cell","STMN1"
4.08498535439646e-115,1.94235127133453,0.97,0.416,9.48982947679841e-111,"Progenitor T cell","HMGB2"
7.44396766513934e-112,2.19049005140385,0.861,0.16,1.72930812828852e-107,"Progenitor T cell","TOP2A"
3.77605200210544e-111,2.07349231502542,0.818,0.118,8.77214640609114e-107,"Progenitor T cell","NUSAP1"
1.32092608977945e-109,1.80037459801079,0.97,0.459,3.06864339916664e-105,"Progenitor T cell","TUBA1B"
4.10924844658786e-103,1.04169596174963,1,0.933,9.54619506626825e-99,"Progenitor T cell","HMGB1"
1.30147932443935e-100,1.72754701230607,0.848,0.152,3.02346661860505e-96,"Progenitor T cell","MKI67"
3.02631295596571e-92,1.57761720579453,0.603,0.027,7.03042762800395e-88,"Progenitor T cell","BIRC5"
1.9726273661712e-91,1.44786933598952,0.924,0.341,4.58261063435231e-87,"Progenitor T cell","TUBB"
5.25943596674931e-88,1.45828465691743,0.573,0.022,1.22181956943553e-83,"Progenitor T cell","GTSE1"
3.19614479456293e-86,1.69542863662826,0.805,0.178,7.42496397224914e-82,"Progenitor T cell","CENPF"
3.98070809790749e-83,1.4753296127521,0.56,0.027,9.24758298224889e-79,"Progenitor T cell","UBE2C"
3.64256778912482e-82,1.26657217790949,0.97,0.513,8.46204923091586e-78,"Progenitor T cell","HMGN2"
2.44740921054664e-79,1.54124017871513,0.586,0.043,5.6855763370209e-75,"Progenitor T cell","DLGAP5"
2.24544736149678e-78,1.35610157119533,0.573,0.04,5.21639876549318e-74,"Progenitor T cell","CEP55"
